time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
61,124928,120.18,3.66,3994,31,0.0030517578125,-0.9410190470516682,240,0.2,0.14886191487312317,0.34906248934566975,0.7552387714385986,-0.0003301439865026623,0.001352194,0.00025,,
62,126976,119.83,3.64,3998,31,0.0369873046875,-0.9048615321516991,244,0.2,0.11723779886960983,0.29161801747977734,0.773256242275238,0.00037373945815488696,0.0058114505,0.00025,,
63,129024,120.25,3.7,4002,32,0.0372314453125,-0.9399871826171875,248,0.2,0.16959689557552338,0.3664714526385069,0.7769386172294617,-0.00015230750432237983,0.0024869195,0.00025,,
64,131072,119.79,3.63,4005,32,0.0174560546875,-0.9234709478914738,252,0.2,0.1535836011171341,0.29379719868302345,0.8017450571060181,-0.0009521036117803305,0.0031355598,0.00025,,
65,133120,119.79,3.64,4011,33,0.0252685546875,-0.8807749524712563,256,0.2,0.14143270254135132,0.3181776273995638,0.8065361380577087,-0.0017975308001041412,0.005151458,0.00025,,
66,135168,120.15,3.63,4014,33,0.0101318359375,-0.9069018550217152,260,0.2,0.19811615347862244,0.34783253259956837,0.7805349230766296,-0.0007765712798573077,0.0022189284,0.00025,,
67,137216,120.82,3.72,4021,34,0.0360107421875,-0.9129078984260559,264,0.2,0.16208916902542114,0.3405605163425207,0.744939923286438,7.177586667239666e-05,0.004061937,0.00025,,
68,139264,120.28,3.69,4025,34,0.029541015625,-0.927602369338274,268,0.2,0.13686393201351166,0.3258292358368635,0.7418287992477417,-0.001547279127407819,0.0016230277,0.00025,,
69,141312,119.5,3.66,4029,35,0.008544921875,-0.9795674979686737,272,0.2,0.1546865850687027,0.3109608553349972,0.7662908434867859,-2.5935296434909105e-05,0.0020671715,0.00025,,
70,143360,119.44,3.61,4033,35,0.011962890625,-0.9659800007939339,276,0.2,0.10059700161218643,0.25063738133758307,0.7701007127761841,-0.0008581163128837943,0.0023113585,0.00025,,
71,145408,120.85,3.64,4038,36,0.0213623046875,-0.9048030339181423,280,0.2,0.14875856041908264,0.31898754462599754,0.7651336193084717,-0.0024946926860138774,0.0041635204,0.00025,,
72,147456,120.6,3.62,4042,36,0.01806640625,-0.8691392168402672,284,0.2,0.12619425356388092,0.2920471467077732,0.8109433054924011,-0.0005883635312784463,0.0014251076,0.00025,,
73,149504,121.07,3.59,4046,36,0.04638671875,-0.8673280663788319,288,0.2,0.18283818662166595,0.3750085700303316,0.7549402117729187,-0.0032063635590020567,0.006375622,0.00025,,
74,151552,120.52,3.57,4049,37,0.0230712890625,-0.8574100397527218,292,0.2,0.14477893710136414,0.29591356683522463,0.7827602624893188,-0.0006387011671904474,0.0047874693,0.00025,,
75,153600,121.44,3.57,4052,37,0.0428466796875,-0.8601101636886597,296,0.2,0.110320083796978,0.24225254449993372,0.8215227127075195,0.0005529589398065582,0.0024353068,0.00025,,
76,155648,121.18,3.65,4054,38,0.0382080078125,-0.7319823913276196,300,0.2,0.12626156210899353,0.2546888804063201,0.8046953082084656,-0.00200699528795667,0.003656722,0.00025,,
77,157696,120.11,3.56,4057,38,0.0386962890625,-0.7425130233168602,304,0.2,0.14811618626117706,0.3135815653949976,0.7469899654388428,0.0007295287650777027,0.0071713887,0.00025,,
78,159744,118.93,3.49,4060,39,0.0316162109375,-0.7155600413680077,308,0.2,0.09991693496704102,0.2110121315345168,0.8162758946418762,-0.0013870821858290583,0.0030901595,0.00025,,
79,161792,118.55,3.44,4062,39,0.0089111328125,-0.6664694733917713,312,0.2,0.15337246656417847,0.31932822056114674,0.7519208192825317,-0.0002938913239631802,0.0012694083,0.00025,,
80,163840,118.68,3.47,4066,40,0.0289306640625,-0.7156182304024696,316,0.2,0.1170177087187767,0.2662176126614213,0.7950631976127625,-0.0002138635900337249,0.0017620942,0.00025,,
81,165888,119.05,3.51,4069,40,0.028564453125,-0.634972620755434,320,0.2,0.11372838914394379,0.283940764144063,0.7802911996841431,-0.000696002971380949,0.001692911,0.00025,,
82,167936,119.82,3.38,4071,41,0.0189208984375,-0.676650807261467,324,0.2,0.13920104503631592,0.2610737159848213,0.8070101141929626,0.00033462636929471046,0.0017767893,0.00025,,
83,169984,119.12,3.32,4074,41,0.0147705078125,-0.5854909345507622,328,0.2,0.1702778935432434,0.379261901602149,0.754157304763794,-0.0010230717598460615,0.0016504432,0.00025,,
84,172032,120.3,3.39,4076,42,0.0240478515625,-0.5807254500687122,332,0.2,0.12130239605903625,0.2837082799524069,0.7852850556373596,-0.0007577033247798681,0.0027396504,0.00025,,
