time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
199,872,174080,85,0.0028714477,0.9633519649505615,917.91,0.134521484375,336,-1.5940803997218609,0.0975424,-20.61,0.05808240920305252,-0.0015157420857576653,0.000243856,0.17358473455533385,,
201,872,176128,86,0.0023912718,0.9699540138244629,926.55,0.083251953125,340,-1.5961709432303905,0.09751314285714285,-20.61,0.09503117948770523,-0.0002229516176157631,0.00024378285714285713,0.19480595830827951,,
204,872,178176,87,0.0028498683,0.9769193530082703,925.32,0.1129150390625,344,-1.5706440284848213,0.09748388571428572,-20.63,0.12048006057739258,-0.001481392144341953,0.00024370971428571428,0.13609010353684425,,
206,872,180224,88,0.002132564,0.9729182720184326,921.23,0.06787109375,348,-1.5801075734198093,0.09745462857142857,-20.63,0.08664511144161224,-0.001028583646984771,0.00024363657142857144,0.12161399214528501,,
208,872,182272,89,0.0024267877,0.978691041469574,921.19,0.058349609375,352,-1.5701503567397594,0.09742537142857144,-20.63,0.04155566543340683,-0.0008537965914001688,0.00024356342857142856,0.12818070640787482,,
211,872,184320,90,0.0016413948,0.9697454571723938,923.82,0.0806884765625,356,-1.6008797846734524,0.09739611428571429,-20.63,0.07753865420818329,-0.0011449161684140563,0.00024349028571428571,0.18084577983245254,,
213,873,186368,91,0.0007921248,0.9714046120643616,912.39,0.1146240234375,360,-1.5933553017675877,0.09736685714285714,-20.65,0.048116352409124374,0.0008014858758542687,0.00024341714285714287,0.1425446062348783,,
215,873,188416,92,0.0016199213,0.9837958216667175,906.92,0.0693359375,364,-1.6188333667814732,0.09733760000000001,-20.67,0.035704050213098526,-0.0011278316378593445,0.00024334400000000002,0.1147617103997618,,
217,873,190464,93,0.0022006838,0.9689645171165466,906.05,0.0758056640625,368,-1.6102397851645947,0.09730834285714286,-20.68,0.020296849310398102,-0.001964975606824737,0.00024327085714285715,0.13066342193633318,,
220,874,192512,94,0.002509478,0.9777049422264099,906.66,0.1192626953125,372,-1.5976516865193844,0.09727908571428573,-20.67,0.033352069556713104,-0.0031297765381168574,0.0002431977142857143,0.21734858071431518,,
222,874,194560,95,0.0024274657,0.9662530422210693,911.11,0.053466796875,376,-1.5915920957922935,0.09724982857142858,-20.67,0.06393060833215714,-5.4898118833079934e-05,0.00024312457142857145,0.18472708901390433,,
224,874,196608,96,0.0017859152,0.9644448757171631,913.57,0.0313720703125,380,-1.5842254236340523,0.09722057142857143,-20.69,0.10931141674518585,0.00016136886551976204,0.00024305142857142858,0.18823995627462864,,
227,874,198656,97,0.0007891372,0.9725749492645264,912.65,0.01220703125,384,-1.6292097829282284,0.09719131428571429,-20.66,0.0563511922955513,-0.0002989390632137656,0.0002429782857142857,0.145685828756541,,
229,875,200704,98,0.001583466,0.9555438756942749,918.83,0.0916748046875,388,-1.5899055190384388,0.09716205714285714,-20.64,0.09578408300876617,-0.0012157841556472704,0.00024290514285714286,0.23573317099362612,,
231,875,202752,99,0.0018436005,0.9806323647499084,921.58,0.0594482421875,392,-1.6060002446174622,0.0971328,-20.61,0.08478136360645294,-0.0005521403072634712,0.000242832,0.16610111971385777,,
234,874,204800,100,0.0012585364,0.9704027771949768,924.32,0.0478515625,396,-1.5746165961027145,0.09710354285714286,-20.6,0.05019307881593704,-0.00046097706945147365,0.00024275885714285713,0.1640398062299937,,
236,874,206848,101,0.0020227088,0.9771619439125061,920.94,0.053955078125,400,-1.5981836952269077,0.09707428571428572,-20.6,0.05204389989376068,-0.00043124749208800495,0.0002426857142857143,0.1469280975870788,,
