time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
114688,122.72,56,4051,4.2,28,0.47217458486557007,0.22450152039527893,-0.0018140184984076768,-0.6462635323405266,0.2,0.0022509024,0.0474853515625,0.00025,220,0.44053096510469913,,
116736,125.06,57,4059,4.33,28,0.5278239846229553,0.1712946742773056,-0.0025757922121556476,-0.6328948624432087,0.2,0.0070130117,0.040771484375,0.00025,224,0.39847933128476143,,
118784,125.51,58,4072,4.31,29,0.5571911334991455,0.17143189907073975,-0.002130480410414748,-0.5999231673777103,0.2,0.004910391,0.0438232421875,0.00025,228,0.3848119005560875,,
120832,125.65,59,4087,4.26,29,0.44051939249038696,0.19613049924373627,-0.0026876298943534493,-0.5739660635590553,0.2,0.0014739946,0.0294189453125,0.00025,232,0.4685850776731968,,
122880,126.09,60,4093,4.33,30,0.5645636320114136,0.2435813695192337,-0.0007700862770434469,-0.5563402399420738,0.2,0.009062952,0.045166015625,0.00025,236,0.4323923774063587,,
124928,124.74,61,4100,4.23,30,0.5713503956794739,0.2021554410457611,-0.0007781656458973885,-0.5713878013193607,0.2,0.004020746,0.031982421875,0.00025,240,0.4218382425606251,,
126976,126.02,62,4113,4.3,30,0.49759167432785034,0.19513268768787384,0.0003104264324065298,-0.5709440410137177,0.2,0.003606676,0.032958984375,0.00025,244,0.4781987741589546,,
129024,125.76,63,4128,4.31,31,0.4892428517341614,0.17590096592903137,-0.004391886468511075,-0.5691625848412514,0.2,0.0035123944,0.03955078125,0.00025,248,0.43998286314308643,,
131072,126.02,64,4141,4.43,31,0.537053644657135,0.1656554937362671,-0.0031474705028813332,-0.5558087341487408,0.2,0.0021185926,0.0399169921875,0.00025,252,0.3965351786464453,,
133120,127.08,65,4150,4.52,32,0.5495809316635132,0.2218538522720337,-0.0017323882784694433,-0.5365062020719051,0.2,0.005996627,0.0450439453125,0.00025,256,0.45973409712314606,,
135168,129.46,66,4153,4.71,32,0.5945452451705933,0.2195170372724533,-0.0022913464345037937,-0.5261995308101177,0.2,0.003135195,0.0106201171875,0.00025,260,0.4612443819642067,,
137216,130.57,67,4150,4.85,33,0.5979303121566772,0.20201337337493896,-0.0012601293856278062,-0.5493048019707203,0.2,0.0047994344,0.02294921875,0.00025,264,0.44420529901981354,,
139264,128.72,68,4152,4.84,33,0.584467351436615,0.18757298588752747,-0.001385230163577944,-0.546508900821209,0.2,0.0106082335,0.0767822265625,0.00025,268,0.4563857223838568,,
