rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-155.26,73,3409,43,43.98,149504,288,0.0001,4241.447418212891,0.0606689453125,0.004221688,-0.00236583553487435,-1.2091222181916237,2068.3935546875,0.2,0.26040124893188477,,
,,,,,149952,292,0.0001,3570.6493377685547,0.0191650390625,0.0053901887,-0.0015542429755441844,-1.1889571398496628,1878.6829833984375,0.2,0.26842212677001953,54.15,-186.3
-179.79,74,3346,45,47.91,151552,,,,,,,,,,,,
-160.74,75,3352,45,45.18,153600,296,0.0001,3804.1031036376953,0.0428466796875,0.005579268,-0.0006603043584618717,-1.2057872787117958,2088.3271484375,0.2,0.2825571298599243,,
-171.71,76,3360,46,46.88,155648,300,0.0001,3865.2649841308594,0.091552734375,0.0101838,-0.0009157300228253007,-1.250671125948429,1852.9893798828125,0.2,0.28636080026626587,,
-184.48,77,3367,46,48.42,157696,304,0.0001,3234.570281982422,0.026123046875,0.0041946927,-0.0008482782286591828,-1.242327906191349,1656.2412109375,0.2,0.3445517420768738,,
-166.94,78,3374,47,45.69,159744,308,0.0001,3391.953582763672,0.092041015625,0.007613522,-0.0022007364023011178,-1.2906591594219208,1711.7786865234375,0.2,0.3854835629463196,,
-140.14,79,3380,47,41.74,161792,312,0.0001,4096.816253662109,0.012451171875,0.005376783,6.7623594077304e-05,-1.2535794004797935,2022.7286376953125,0.2,0.35218095779418945,,
-123.18,80,3386,48,39.22,163840,316,0.0001,3464.924560546875,0.0150146484375,0.006575673,-0.0005347665573935956,-1.2609961181879044,1600.95458984375,0.2,0.4419403672218323,,
-113.29,81,3392,48,37.43,165888,320,0.0001,3060.221405029297,0.0640869140625,0.012464281,-0.0027108782378491014,-1.1798861920833588,1587.4534912109375,0.2,0.5554189682006836,,
-118.79,82,3397,49,38.51,167936,324,0.0001,3517.1808471679688,0.0789794921875,0.009656712,0.0006695116753689945,-1.2087426409125328,1486.9954833984375,0.2,0.5600571036338806,,
-152.15,83,3403,49,43.94,169984,328,0.0001,3373.2101440429688,0.1534423828125,0.0075415256,0.0025791283405851573,-1.2295833677053452,1619.9755859375,0.2,0.4554119110107422,,
-149.19,84,3409,50,43.82,172032,332,0.0001,3628.3091430664062,0.0706787109375,0.0069412263,0.0003424728929530829,-1.2321204021573067,1979.553466796875,0.2,0.41011518239974976,,
-140.04,85,3415,50,42.71,174080,336,0.0001,2761.2809448242188,0.066162109375,0.005333163,-0.0009326476720161736,-1.216192752122879,1400.59228515625,0.2,0.5652722120285034,,
,,,,,174944,340,0.0001,3270.5330963134766,0.10693359375,0.009039372,0.0008492264314554632,-1.2023074552416801,1825.7325439453125,0.2,0.491965115070343,66.75,-261.0
-178.62,86,3351,52,48.63,176128,,,,,,,,,,,,
-141.49,87,3356,53,42.05,178176,344,0.0001,2601.025909423828,0.029052734375,0.0029249564,0.0019007041701115668,-1.1835906580090523,1359.6309814453125,0.2,0.5582138895988464,,
-143.87,88,3361,53,42.16,180224,348,0.0001,2888.3106689453125,0.1673583984375,0.0048942445,0.0004209013859508559,-1.0961857438087463,1404.586669921875,0.2,0.6679238677024841,,
-152.89,89,3367,54,42.99,182272,352,0.0001,2407.2050170898438,0.146484375,0.0055133747,0.0005210012313909829,-1.1528776809573174,1105.65869140625,0.2,0.6017270088195801,,
-123.25,90,3371,54,38.25,184320,356,0.0001,3679.1013793945312,0.168701171875,0.012610169,0.005419870823970996,-1.1636350974440575,1852.2412109375,0.2,0.48866361379623413,,
-120.12,91,3376,55,37.7,186368,360,0.0001,3267.811004638672,0.06640625,0.010783651,-0.00021013672812841833,-1.124318890273571,1769.3934326171875,0.2,0.6022423505783081,,
-120.6,92,3381,55,37.53,188416,364,0.0001,2862.265151977539,0.06689453125,0.0041305777,-0.0037833164096809924,-1.1397826373577118,1482.9925537109375,0.2,0.623670220375061,,
-128.73,93,3385,56,38.32,190464,368,0.0001,2796.9793548583984,0.0709228515625,0.007859965,-0.0004912884760415182,-1.1721505299210548,1390.7213134765625,0.2,0.6657010316848755,,
-122.79,94,3390,56,37.57,192512,372,0.0001,3327.7281799316406,0.070556640625,0.016270794,-0.0005330274871084839,-1.1736846715211868,1725.6741943359375,0.2,0.5713186264038086,,
-140.81,95,3395,57,41.49,194560,376,0.0001,4617.3695068359375,0.18115234375,0.003121397,0.002627638663398102,-1.2103390842676163,2323.5283203125,0.2,0.5660435557365417,,
-112.88,96,3398,57,37.53,196608,380,0.0001,5925.423583984375,0.113037109375,0.017204963,0.00015736027853563428,-1.1753549426794052,2628.4609375,0.2,0.3628976345062256,,
-75.78,97,3403,58,31.78,198656,384,0.0001,5155.640228271484,0.054931640625,0.005378981,-0.00031618657521903515,-1.1659916266798973,2525.750732421875,0.2,0.4854270815849304,,
,,,,,199936,388,0.0001,4403.884033203125,0.10107421875,0.009191487,-0.0036227773525752127,-1.1597149521112442,2061.604736328125,0.2,0.41973400115966797,27.85,-70.6
-33.32,98,3377,59,25.53,200704,,,,,,,,,,,,
-43.46,99,3381,59,26.58,202752,392,0.0001,4906.6041259765625,0.0882568359375,0.021794308,0.0009040476870723069,-1.1641137301921844,2190.167724609375,0.2,0.23302531242370605,,
-69.03,100,3384,60,29.79,204800,396,0.0001,4150.063949584961,0.0491943359375,0.009275829,0.003278608142863959,-1.1779648661613464,1966.5794677734375,0.2,0.15875649452209473,,
-80.43,101,3389,61,31.49,206848,400,0.0001,3595.2235717773438,0.098388671875,0.006002587,0.0007195089419838041,-1.1296797022223473,1693.22607421875,0.2,0.3097383975982666,,
-50.55,102,3393,61,27.35,208896,404,0.0001,4035.9932250976562,0.168701171875,0.009027436,-0.0034561046049930155,-1.1320383697748184,2022.4241943359375,0.2,0.3447423577308655,,
-48.55,103,3396,62,27.45,210944,408,0.0001,4746.900482177734,0.0548095703125,0.009417392,-0.0008597261912655085,-1.0509401187300682,2349.08740234375,0.2,0.37745803594589233,,
-47.66,104,3399,62,26.96,212992,412,0.0001,4361.130065917969,0.0760498046875,0.008161042,-0.0020005796977784485,-1.0153686180710793,2201.36962890625,0.2,0.41070276498794556,,
-70.38,105,3403,63,30.56,215040,416,0.0001,4058.3135681152344,0.035888671875,0.0067012445,0.0003045804041903466,-0.9981179349124432,1803.191162109375,0.2,0.49250471591949463,,
-81.87,106,3407,63,32.49,217088,420,0.0001,3231.238815307617,0.172607421875,0.023212185,0.006716744013829157,-1.0663882493972778,1473.3631591796875,0.2,0.5563594102859497,,
-87.09,107,3411,64,33.46,219136,424,0.0001,3650.399673461914,0.1932373046875,0.0069666617,0.005933065956924111,-1.054997518658638,1694.4495849609375,0.2,0.4887236952781677,,
-82.75,108,3415,64,32.66,221184,428,0.0001,3188.8197479248047,0.10498046875,0.004749197,-0.0017541354172863066,-1.0386106558144093,1572.1990966796875,0.2,0.5305774211883545,,
-93.99,109,3420,65,34.5,223232,432,0.0001,3586.346649169922,0.056396484375,0.0016002529,-0.0002343251253478229,-0.9528898634016514,1844.5408935546875,0.2,0.4938077926635742,,
,,,,,224928,436,0.0001,3311.6739654541016,0.058837890625,0.0025899266,0.001158172235591337,-0.9482416100800037,1438.9322509765625,0.2,0.522049069404602,45.05,-148.75
-107.2,110,3385,66,36.87,225280,,,,,,,,,,,,
-57.76,111,3389,67,29.06,227328,440,0.0001,3231.2157592773438,0.0352783203125,0.004462132,0.0010802933538798243,-0.9164356142282486,1646.23046875,0.2,0.597092866897583,,
-80.21,112,3393,67,32.56,229376,444,0.0001,3171.408218383789,0.0423583984375,0.0032874392,-0.0028171522717457265,-0.9397932179272175,1483.7056884765625,0.2,0.6661865711212158,,
-90.76,113,3397,68,34.07,231424,448,0.0001,3219.0221557617188,0.04541015625,0.006428387,-0.0007339018047787249,-0.9830096326768398,1507.3463134765625,0.2,0.6054548025131226,,
-24.59,114,3399,68,23.62,233472,452,0.0001,3464.3704528808594,0.1190185546875,0.009216823,-0.0031937371531967074,-1.07352926582098,1728.1378173828125,0.2,0.6315000653266907,,
-24.98,115,3403,69,23.75,235520,456,0.0001,3957.9593048095703,0.0887451171875,0.008398611,-0.0021069693902973086,-1.1308709606528282,1903.0615234375,0.2,0.6304805278778076,,
-32.33,116,3405,69,24.98,237568,460,0.0001,2867.8145294189453,0.134765625,0.006362294,0.0006744617712683976,-1.1703708618879318,1305.4769287109375,0.2,0.6697225570678711,,
-4.0,117,3408,70,20.28,239616,464,0.0001,3109.1276092529297,0.2010498046875,0.007896874,-0.0018657628679648042,-1.1732161194086075,1422.927490234375,0.2,0.6712411642074585,,
-21.81,118,3411,70,23.29,241664,468,0.0001,3086.7957916259766,0.236572265625,0.005364587,-0.0038076158380135894,-1.1894128248095512,1541.1932373046875,0.2,0.6511737704277039,,
10.91,119,3412,71,17.78,243712,472,0.0001,3030.4774627685547,0.1488037109375,0.014394648,-0.00881641695741564,-1.1969446390867233,1563.7464599609375,0.2,0.6396533250808716,,
12.16,120,3415,71,18.4,245760,476,0.0001,2599.5252685546875,0.145751953125,0.011766801,-0.0023415634059347212,-1.1822118684649467,1081.7960205078125,0.2,0.6723759770393372,,
17.13,121,3417,72,17.42,247808,480,0.0001,1634.9433670043945,0.1231689453125,0.0073464983,0.0017701199685689062,-1.1663620471954346,760.2255249023438,0.2,0.5924451351165771,,
-6.26,122,3419,73,21.03,249856,484,0.0001,1489.0848770141602,0.1990966796875,0.014878621,0.0007222696440294385,-1.1517377272248268,783.4237060546875,0.2,0.568980872631073,,
,,,,,249920,488,0.0001,2478.1763916015625,0.5283203125,0.115997955,0.04022512218216434,-1.100343406200409,1172.5147705078125,0.2,0.4783269762992859,44.85,-180.55
27.0,123,3386,74,15.46,251904,,,,,,,,,,,,
-14.8,124,3390,74,22.19,253952,492,0.0001,1442.2508850097656,0.2589111328125,0.016706564,0.02053829573560506,-1.0989152193069458,678.6053466796875,0.2,0.474851131439209,,
-39.93,125,3393,75,26.52,256000,496,0.0001,2431.8328399658203,0.1600341796875,0.006229266,0.007265246473252773,-1.174596719443798,952.909912109375,0.2,0.24344760179519653,,
-33.37,126,3395,75,25.64,258048,500,0.0001,2137.8384552001953,0.096923828125,0.0042695543,-0.0005721093621104956,-1.1163828447461128,1014.72265625,0.2,0.4957049489021301,,
-4.09,127,3397,76,20.08,260096,504,0.0001,2507.6505126953125,0.151123046875,0.009592878,-0.0058909093495458364,-1.017736878246069,1232.3265380859375,0.2,0.323910653591156,,
-9.92,128,3400,77,21.84,262144,508,0.0001,2616.0457763671875,0.1910400390625,0.0047998214,0.0001317753631155938,-1.0814878642559052,1257.84619140625,0.2,0.43776482343673706,,
10.16,129,3402,77,18.13,264192,512,0.0001,2161.0621490478516,0.0977783203125,0.009595296,-0.004707128799054772,-1.0082562454044819,1036.5164794921875,0.2,0.44185060262680054,,
-17.15,130,3405,78,23.07,266240,516,0.0001,2274.231414794922,0.110595703125,0.0027599053,-0.0013254373625386506,-1.0405584126710892,1097.1507568359375,0.2,0.4818341135978699,,
3.81,131,3407,78,19.07,268288,520,0.0001,2184.7994537353516,0.162353515625,0.011244062,-0.010695640346966684,-1.037032999098301,1069.2667236328125,0.2,0.543973445892334,,
10.73,132,3409,79,18.29,270336,524,0.0001,2289.612258911133,0.1708984375,0.008023601,-0.0007400579488603398,-1.0446298904716969,1139.381103515625,0.2,0.4486687183380127,,
21.63,133,3411,79,16.29,272384,528,0.0001,1341.8222427368164,0.2113037109375,0.009523206,0.004938958649290726,-0.9679918736219406,662.8697509765625,0.2,0.4090133309364319,,
44.67,134,3412,80,12.4,274432,532,0.0001,1413.9185409545898,0.35498046875,0.03642184,0.008766724087763578,-1.0239504352211952,695.2489624023438,0.2,0.46046382188796997,,
,,,,,274912,536,0.0001,1084.5814933776855,0.177978515625,0.0066139726,0.002251023077405989,-1.0792645886540413,476.53863525390625,0.2,0.4464707374572754,17.55,7.75
33.41,135,3399,81,14.51,276480,,,,,,,,,,,,
35.69,136,3401,81,13.93,278528,540,0.0001,1110.6537246704102,0.1571044921875,0.01517068,-0.011027154017938301,-1.0775315016508102,629.0151977539062,0.2,0.4956209659576416,,
43.92,137,3402,82,12.62,280576,544,0.0001,1170.8752670288086,0.2701416015625,0.017090563,-0.01657458208501339,-1.0675139725208282,591.7081298828125,0.2,0.44700831174850464,,
35.39,138,3404,83,14.13,282624,548,0.0001,854.5267448425293,0.111572265625,0.0048834775,-0.0032804649672470987,-1.0360946878790855,439.6455383300781,0.2,0.3539009094238281,,
32.67,139,3405,83,14.61,284672,552,0.0001,1028.8131980895996,0.0723876953125,0.005156704,0.0026964530698023736,-1.0826198160648346,499.3682556152344,0.2,0.18553704023361206,,
35.59,140,3405,84,14.14,286720,556,0.0001,1224.8105239868164,0.1622314453125,0.017786028,0.0008970702765509486,-1.0339568704366684,570.5951538085938,0.2,0.39801353216171265,,
