time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
195,792.1,0.01,773,151135,-20.96,736,,,0.01986401341855526,0.0001,12783
196,793.3,0.01,772,151909,-20.96,740,,,0.0221721101552248,0.0001,12977
198,795.76,0.01,770,152712,-20.96,744,,,0.010504158213734627,0.0001,13177
199,797.47,0.01,769,153529,-20.95,748,,,0.00410840380936861,0.0001,13382
201,799.11,0.01,767,154318,-20.95,752,,,0.003805705113336444,0.0001,13579
202,800.64,0.01,765,155109,-20.95,756,,,0.016996195539832115,0.0001,13777
204,803.67,0.01,764,155941,-20.94,760,,,0.005129586905241013,0.0001,13985
205,803.52,0.01,762,156725,-20.94,764,,,0.00458025187253952,0.0001,14181
206,805.38,0.01,761,157515,-20.94,768,,,0.0018385117873549461,0.0001,14378
208,805.87,0.01,760,158306,-20.95,772,,,0.007181225344538689,0.0001,14576
209,806.47,0.01,758,159080,-20.95,776,,,0.02251855842769146,0.0001,14769
210,805.85,0.01,757,159820,-20.95,780,,,0.009718243032693863,0.0001,14954
212,806.12,0.01,756,160604,-20.95,784,,,0.006095442920923233,0.0001,15150
213,807.35,0.01,754,161374,-20.95,788,,,0.013086557388305664,0.0001,15343
215,807.47,0.01,753,162137,-20.96,792,,,0.01906462013721466,0.0001,15534
216,806.42,0.01,752,162908,-20.95,796,,,0.003938137553632259,0.0001,15726
217,805.81,0.01,751,163647,-20.95,800,,,0.016535978764295578,0.0001,15911
219,805.21,0.01,750,164384,-20.95,804,,,0.029022028669714928,0.0001,16095
220,802.17,0.01,748,165133,-20.95,808,,,0.030949415639042854,0.0001,16283
221,802.69,0.01,747,165923,-20.95,812,,,0.006512002553790808,0.0001,16480
223,802.71,0.01,746,166707,-20.95,816,,,0.03473556786775589,0.0001,16676
224,804.59,0.01,745,167508,-20.95,820,,,0.004100470803678036,0.0001,16876
226,805.5,0.01,744,168311,-20.95,824,,,0.03449831157922745,0.0001,17077
227,803.16,0.01,742,169096,-20.96,828,,,0.004450155422091484,0.0001,17273
229,805.18,0.01,741,169915,-20.96,832,,,0.014671092852950096,0.0001,17478
230,803.35,0.01,740,170685,-20.96,836,,,0.007304411847144365,0.0001,17671
231,803.95,0.01,739,171473,-20.96,840,,,0.011309393681585789,0.0001,17868
233,806.45,0.01,738,172339,-20.93,844,,,0.011478755623102188,0.0001,18084
234,806.13,0.01,737,173154,-20.93,848,,,0.009534738026559353,0.0001,18288
236,806.74,0.01,735,173964,-20.93,852,,,0.022765541449189186,0.0001,18490
237,806.73,0.01,734,174747,-20.93,856,,,0.010765131562948227,0.0001,18686
239,805.82,0.01,733,175554,-20.94,860,,,0.02969447523355484,0.0001,18888
240,804.63,0.01,732,176311,-20.95,864,,,0.0202152319252491,0.0001,19077
242,805.94,0.01,731,177134,-20.95,868,,,0.04203077033162117,0.0001,19283
243,805.5,0.01,730,177906,-20.95,872,,,0.014993041753768921,0.0001,19476
244,805.27,0.01,729,178675,-20.95,876,,,0.01358361542224884,0.0001,19668
246,807.7,0.01,728,179473,-20.95,880,,,0.004188130609691143,0.0001,19868
247,807.71,0.01,727,180255,-20.95,884,,,0.01816730946302414,0.0001,20063
249,808.47,0.01,726,181053,-20.95,888,,,0.008385634049773216,0.0001,20263
250,809.0,0.01,725,181831,-20.94,892,,,0.004623395390808582,0.0001,20457
251,808.82,0.01,724,182589,-20.95,896,,,0.020422426983714104,0.0001,20647
253,809.43,0.01,723,183346,-20.95,900,,,0.0066805207170546055,0.0001,20836
254,813.68,0.01,722,184197,-20.95,904,,,0.006890850607305765,0.0001,21049
256,818.54,0.01,721,185063,-20.95,908,,,0.013287386856973171,0.0001,21265
257,817.0,0.01,720,185815,-20.95,912,,,0.009137255139648914,0.0001,21453
259,817.52,0.01,719,186614,-20.94,916,,,0.012427964247763157,0.0001,21653
260,820.77,0.01,718,187497,-20.94,920,,,0.005022647324949503,0.0001,21874
262,822.91,0.01,717,188339,-20.94,924,,,0.004137157462537289,0.0001,22084
263,823.98,0.01,716,189148,-20.93,928,,,0.007682119496166706,0.0001,22286
265,824.47,0.01,715,189967,-20.93,932,,,0.009511256590485573,0.0001,22491
266,826.0,0.01,715,190773,-20.93,936,,,0.016255738213658333,0.0001,22693
268,824.94,0.01,714,191534,-20.92,940,,,0.0045868465676903725,0.0001,22883
269,822.01,0.01,713,192324,-20.95,944,,,0.009646380320191383,0.0001,23080
271,822.15,0.01,712,193149,-20.95,948,,,0.01303843967616558,0.0001,23287
272,821.51,0.01,711,193944,-20.95,952,,,0.006771557033061981,0.0001,23485
273,822.93,0.01,710,194767,-20.95,956,,,0.009451405145227909,0.0001,23691
275,824.73,0.01,710,195620,-20.95,960,,,0.00774898286908865,0.0001,23904
276,826.36,0.01,709,196413,-20.95,964,,,0.010258444584906101,0.0001,24103
278,826.31,0.01,708,197229,-20.94,968,,,0.005133865866810083,0.0001,24307
279,827.21,0.01,707,198032,-20.93,972,,,0.011927622370421886,0.0001,24507
281,828.13,0.01,706,198810,-20.92,976,,,0.004437746945768595,0.0001,24702
282,827.37,0.01,706,199601,-20.91,980,,,0.006853820756077766,0.0001,24900
,,0.01,,200000,,,828.0,-21.0,0.003124619135633111,0.0001,24999
289,828.71,0.01,692,200416,-20.9,984,,,0.018052319064736366,0.0001,25103
290,830.35,0.01,692,201253,-20.89,988,,,0.011889947578310966,0.0001,25313
292,831.59,0.01,691,202063,-20.9,992,,,0.011990816332399845,0.0001,25515
293,831.77,0.01,690,202830,-20.9,996,,,0.009901881217956543,0.0001,25707
295,834.74,0.01,690,203651,-20.9,1000,,,0.040100932121276855,0.0001,25912
296,832.6,0.01,689,204441,-20.9,1004,,,0.00564544927328825,0.0001,26110
297,829.82,0.01,688,205239,-20.9,1008,,,0.013889778405427933,0.0001,26309
299,830.57,0.01,688,206017,-20.9,1012,,,0.006568600423634052,0.0001,26504
300,833.0,0.01,687,206873,-20.89,1016,,,0.008436843752861023,0.0001,26718
302,832.05,0.01,686,207739,-20.86,1020,,,0.030048180371522903,0.0001,26934
303,830.98,0.01,686,208562,-20.85,1024,,,0.01563473418354988,0.0001,27140
305,832.26,0.01,685,209403,-20.84,1028,,,0.004991182126104832,0.0001,27350
307,834.47,0.01,684,210286,-20.82,1032,,,0.005546808708459139,0.0001,27571
308,833.94,0.01,684,211088,-20.81,1036,,,0.021736303344368935,0.0001,27771
309,836.53,0.01,683,211919,-20.81,1040,,,0.006387499626725912,0.0001,27979
311,837.69,0.01,683,212741,-20.81,1044,,,0.02046557515859604,0.0001,28185
312,838.04,0.01,682,213564,-20.79,1048,,,0.016849106177687645,0.0001,28390
314,838.75,0.01,681,214369,-20.78,1052,,,0.0112606231123209,0.0001,28592
315,837.96,0.01,681,215174,-20.77,1056,,,0.006486713886260986,0.0001,28793
317,835.19,0.01,680,215951,-20.76,1060,,,0.004098637029528618,0.0001,28987
318,835.45,0.01,680,216752,-20.76,1064,,,0.005068744532763958,0.0001,29187
320,834.92,0.01,679,217555,-20.77,1068,,,0.008140595629811287,0.0001,29388
321,834.2,0.01,679,218342,-20.77,1072,,,0.0045865182764828205,0.0001,29585
323,834.56,0.01,678,219146,-20.78,1076,,,0.007439399603754282,0.0001,29786
324,834.29,0.01,677,219913,-20.79,1080,,,0.008916789665818214,0.0001,29978
326,838.22,0.01,677,220820,-20.79,1084,,,0.017072901129722595,0.0001,30204
327,836.21,0.01,676,221603,-20.8,1088,,,0.014354933053255081,0.0001,30400
328,835.54,0.01,676,222397,-20.8,1092,,,0.003205900778993964,0.0001,30599
330,837.05,0.01,675,223199,-20.79,1096,,,0.009737299755215645,0.0001,30799
331,839.99,0.01,675,224096,-20.75,1100,,,0.011729703284800053,0.0001,31023
333,843.66,0.01,674,224974,-20.73,1104,,,0.006875559687614441,0.0001,31243
334,845.05,0.01,674,225804,-20.72,1108,,,0.007381361909210682,0.0001,31450
336,847.36,0.01,673,226639,-20.71,1112,,,0.004621217027306557,0.0001,31659
338,849.14,0.01,673,227547,-20.73,1116,,,0.008307801559567451,0.0001,31886
339,849.29,0.01,672,228413,-20.75,1120,,,0.010239768773317337,0.0001,32103
341,852.64,0.01,672,229316,-20.76,1124,,,0.008285226300358772,0.0001,32328
342,856.4,0.01,671,230247,-20.77,1128,,,0.008699227124452591,0.0001,32561
344,853.56,0.01,671,231065,-20.79,1132,,,0.008696915581822395,0.0001,32766
345,855.33,0.01,670,231907,-20.79,1136,,,0.0064436402171850204,0.0001,32976
347,858.91,0.01,669,232818,-20.79,1140,,,0.0035742102190852165,0.0001,33204
349,861.03,0.01,669,233686,-20.79,1144,,,0.012896206229925156,0.0001,33421
350,862.03,0.01,668,234534,-20.82,1148,,,0.008126441389322281,0.0001,33633
352,864.32,0.01,668,235396,-20.82,1152,,,0.006018353160470724,0.0001,33848
353,866.55,0.01,667,236263,-20.82,1156,,,0.007824143394827843,0.0001,34065
355,867.66,0.01,667,237079,-20.83,1160,,,0.0034554200246930122,0.0001,34269
356,869.88,0.01,667,237938,-20.83,1164,,,0.006258674897253513,0.0001,34484
358,873.09,0.01,666,238832,-20.81,1168,,,0.010555564425885677,0.0001,34707
359,876.84,0.01,666,239716,-20.8,1172,,,0.013772454112768173,0.0001,34928
361,879.68,0.01,665,240582,-20.79,1176,,,0.01576610468327999,0.0001,35145
362,883.28,0.01,665,241460,-20.78,1180,,,0.0057120779529213905,0.0001,35364
364,883.95,0.01,664,242376,-20.79,1184,,,0.008535421453416348,0.0001,35593
366,885.93,0.01,664,243207,-20.78,1188,,,0.016016656532883644,0.0001,35801
367,893.59,0.01,663,244188,-20.75,1192,,,0.004088402725756168,0.0001,36046
369,897.29,0.01,663,245086,-20.75,1196,,,0.007463911548256874,0.0001,36271
371,898.88,0.01,662,246026,-20.77,1200,,,0.005204392597079277,0.0001,36506
372,899.86,0.01,662,246942,-20.79,1204,,,0.0036105012986809015,0.0001,36735
374,902.52,0.01,661,247842,-20.78,1208,,,0.0026446401607245207,0.0001,36960
375,901.09,0.01,661,248642,-20.78,1212,,,0.009425611235201359,0.0001,37160
377,902.84,0.01,661,249589,-20.75,1216,,,0.004144498147070408,0.0001,37397
