time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward
124928,-142.1,61,3428,39.51,36,2880.87158203125,-0.990336786955595,240,0.0438232421875,0.0003436467959545553,0.0036659283,5798.736602783203,0.046981632709503174,0.2,0.0001,,
124960,,,,,,2852.39306640625,-0.997017927467823,244,0.0289306640625,0.0011630960216280073,0.0038339219,5831.060394287109,0.07757192850112915,0.2,0.0001,52.0,-247.5
126976,-114.27,62,3358,35.36,37,,,,,,,,,,,,
129024,-143.51,63,3365,39.66,38,2846.001708984375,-1.0699164494872093,248,0.104736328125,0.00040620408253744245,0.007685126,5756.990783691406,0.0989648699760437,0.2,0.0001,,
131072,-181.48,64,3373,45.34,38,2724.754638671875,-1.0534282736480236,252,0.098388671875,0.0011804667010437697,0.005651739,5345.0579833984375,0.05131101608276367,0.2,0.0001,,
133120,-202.07,65,3380,48.36,39,2087.68359375,-1.0675934925675392,256,0.0933837890625,0.0031866158242337406,0.007045394,4413.0233154296875,0.035725951194763184,0.2,0.0001,,
135168,-176.68,66,3387,44.56,39,2714.783203125,-1.1061296835541725,260,0.0999755859375,0.0008372874581255019,0.012921559,5512.551116943359,0.06323081254959106,0.2,0.0001,,
137216,-173.55,67,3395,44.2,40,2677.576171875,-0.9264110960066319,264,0.1356201171875,0.005275033036014065,0.025597546,5312.372833251953,0.09633171558380127,0.2,0.0001,,
139264,-168.26,68,3401,43.64,40,2312.611572265625,-1.0107832960784435,268,0.0704345703125,0.00402669797767885,0.0064608213,4490.875793457031,0.058652281761169434,0.2,0.0001,,
141312,-148.73,69,3408,40.64,41,2583.466552734375,-1.0254264324903488,272,0.0572509765625,0.001516686868853867,0.00732687,6102.5325927734375,0.10347044467926025,0.2,0.0001,,
143360,-141.65,70,3414,39.37,41,2664.5556640625,-0.9747513718903065,276,0.0560302734375,-0.0013218038657214493,0.011455862,4653.857147216797,0.11104953289031982,0.2,0.0001,,
145408,-151.75,71,3420,41.02,42,3042.376220703125,-0.9902379401028156,280,0.0360107421875,-0.0020144378941040486,0.0026012757,6096.2288818359375,0.13104867935180664,0.2,0.0001,,
147456,-180.94,72,3426,45.22,43,2469.346435546875,-0.9608968831598759,284,0.0260009765625,0.0004910823772661388,0.0033750688,4736.157135009766,0.12849730253219604,0.2,0.0001,,
149504,-187.48,73,3431,46.15,43,2239.700439453125,-1.037702664732933,288,0.1002197265625,0.00017982814460992813,0.002242877,4598.335723876953,0.15555518865585327,0.2,0.0001,,
149952,,,,,,2251.082275390625,-1.0222139731049538,292,0.10498046875,0.0018981991743203253,0.013819713,4378.119033813477,0.1610107421875,0.2,0.0001,59.7,-299.9
151552,-146.02,74,3361,40.55,45,,,,,,,,,,,,
153600,-128.73,75,3367,38.34,45,2666.02685546875,-1.0404276475310326,296,0.0948486328125,-0.0016483313229400665,0.0046947305,5270.7479248046875,0.26758378744125366,0.2,0.0001,,
155648,-149.43,76,3374,41.37,46,1890.1951904296875,-1.027875006198883,300,0.09228515625,-0.002057180739939213,0.008529939,3896.726516723633,0.23085135221481323,0.2,0.0001,,
157696,-142.89,77,3380,40.2,46,1824.9530029296875,-1.1243868097662926,304,0.070556640625,-0.0006003756425343454,0.0064731184,3891.567901611328,0.2845556139945984,0.2,0.0001,,
159744,-138.63,78,3385,39.48,47,2082.175537109375,-1.1083832904696465,308,0.262939453125,0.0030190796533133835,0.019954428,4136.543258666992,0.3417200446128845,0.2,0.0001,,
161792,-141.42,79,3390,39.99,47,2040.681396484375,-1.1316247209906578,312,0.08056640625,0.0007036736933514476,0.012061026,4102.018981933594,0.3766464591026306,0.2,0.0001,,
163840,-143.77,80,3394,40.7,48,1758.5325927734375,-1.1010010167956352,316,0.1778564453125,-0.0004803507181350142,0.021501163,3659.4149017333984,0.3466445803642273,0.2,0.0001,,
165888,-167.4,81,3400,44.4,48,1737.6607666015625,-1.147661730647087,320,0.491455078125,0.04041244578547776,0.01472255,3578.324188232422,0.38615119457244873,0.2,0.0001,,
167936,-187.54,82,3407,47.38,49,1542.4422607421875,-1.098645694553852,324,0.15185546875,-0.00032187922624871135,0.0030856475,3584.1354064941406,0.2999277114868164,0.2,0.0001,,
169984,-181.71,83,3413,45.99,49,1779.84033203125,-1.093574233353138,328,0.1243896484375,-0.0006155716255307198,0.017057883,3479.910842895508,0.33150744438171387,0.2,0.0001,,
