time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
350,560,-20.53,121212,345,903.5,0.4000005999999995,0.0001,27802,0.007387167774140835,,
350,564,-20.53,122053,348,901.0,0.39583765000000015,0.0001,28013,0.008905474096536636,,
350,568,-20.5,122959,350,903.21,0.3913529499999998,0.0001,28239,0.0070357369258999825,,
350,572,-20.48,123782,353,902.37,0.38727909999999977,0.0001,28445,0.007840048521757126,,
350,576,-20.48,124597,355,901.22,0.38324484999999964,0.0001,28649,0.007832450792193413,,
350,580,-20.48,125478,358,904.06,0.37888390000000016,0.0001,28869,0.016527723520994186,,
350,584,-20.48,126355,360,906.14,0.37454275000000004,0.0001,29088,0.014853587374091148,,
350,588,-20.48,127252,363,908.83,0.3701026000000004,0.0001,29312,0.011793677695095539,,
350,592,-20.51,128118,365,903.17,0.3658159000000002,0.0001,29529,0.018000971525907516,,
350,596,-20.52,128965,368,901.44,0.36162325000000006,0.0001,29741,0.013606177642941475,,
349,600,-20.55,129783,370,896.25,0.35757415000000015,0.0001,29945,0.007169537246227264,,
349,604,-20.54,130662,373,896.08,0.3532230999999998,0.0001,30165,0.010268907994031906,,
349,608,-20.53,131564,376,896.44,0.3487582,0.0001,30390,0.011571209877729416,,
349,612,-20.5,132589,379,902.87,0.3436844499999997,0.0001,30647,0.019428659230470657,,
349,616,-20.5,133510,382,907.07,0.33912549999999997,0.0001,30877,0.00937003642320633,,
349,620,-20.51,134364,384,905.07,0.3348982000000005,0.0001,31090,0.015456151217222214,,
349,624,-20.54,135292,387,904.92,0.3303046000000003,0.0001,31322,0.018796315416693687,,
349,628,-20.52,136228,390,904.72,0.32567139999999994,0.0001,31556,0.009908759966492653,,
349,632,-20.45,137229,393,910.88,0.3207164499999998,0.0001,31807,0.006056143436580896,,
348,636,-20.41,138234,396,919.44,0.31574170000000024,0.0001,32058,0.02861080691218376,,
348,640,-20.4,139213,399,923.85,0.31089564999999986,0.0001,32303,0.011556312441825867,,
348,644,-20.44,140079,401,919.05,0.30660894999999977,0.0001,32519,0.0177163053303957,,
348,648,-20.46,140955,404,919.39,0.3022727500000004,0.0001,32738,0.005699012894183397,,
348,652,-20.42,142078,408,930.15,0.2967139000000004,0.0001,33019,0.008087757974863052,,
347,656,-20.37,143174,411,936.28,0.2912887000000004,0.0001,33293,0.013181468471884727,,
347,660,-20.34,144152,414,940.08,0.2864475999999998,0.0001,33537,0.043235041201114655,,
347,664,-20.32,145099,417,944.25,0.28175994999999965,0.0001,33774,0.0190157238394022,,
347,668,-20.33,146121,420,949.23,0.2767010500000002,0.0001,34030,0.013373727910220623,,
346,672,-20.3,147188,424,958.73,0.27141939999999964,0.0001,34296,0.03443829342722893,,
346,676,-20.27,148170,427,965.27,0.2665585000000005,0.0001,34542,0.011456158943474293,,
345,680,-20.26,149144,431,968.94,0.26173720000000034,0.0001,34785,0.009379405528306961,,
345,684,-20.23,150259,435,978.64,0.25621795000000047,0.0001,35064,0.02257959544658661,,
344,688,-20.13,151429,439,989.24,0.25042644999999986,0.0001,35357,0.012050071731209755,,
344,692,-20.06,152527,443,998.6,0.2449913499999996,0.0001,35631,0.016782110556960106,,
343,696,-20.05,153476,446,1002.67,0.24029380000000033,0.0001,35868,0.01645442098379135,,
343,700,-20.0,154594,450,1014.52,0.23475970000000057,0.0001,36148,0.015864567831158638,,
342,704,-19.92,155729,454,1024.81,0.22914144999999997,0.0001,36432,0.028788365423679352,,
342,708,-19.9,156792,458,1031.16,0.22387959999999985,0.0001,36697,0.022161468863487244,,
341,712,-19.89,157834,462,1031.5,0.2187216999999999,0.0001,36958,0.014553003013134003,,
341,716,-19.86,158909,465,1037.99,0.21340045000000019,0.0001,37227,0.01858765259385109,,
340,720,-19.8,160157,470,1053.64,0.20722285000000062,0.0001,37539,0.018880659714341164,,
339,724,-19.78,161189,474,1057.56,0.20211444999999995,0.0001,37797,0.018638864159584045,,
339,728,-19.76,162351,478,1066.57,0.19636255000000047,0.0001,38087,0.014463524334132671,,
338,732,-19.8,163388,482,1067.8,0.19122939999999966,0.0001,38346,0.010997789911925793,,
338,736,-19.76,164549,486,1073.5,0.18548244999999974,0.0001,38637,0.019554100930690765,,
337,740,-19.75,165742,491,1081.88,0.1795770999999997,0.0001,38935,0.019583914428949356,,
337,744,-19.73,166778,494,1088.73,0.17444889999999957,0.0001,39194,0.012768559157848358,,
336,748,-19.65,167993,499,1102.24,0.16843464999999969,0.0001,39498,0.013622116297483444,,
336,752,-19.62,169409,504,1114.06,0.16142545000000053,0.0001,39852,0.009922345168888569,,
335,756,-19.63,170597,508,1117.74,0.15554485000000062,0.0001,40149,0.015213385224342346,,
334,760,-19.6,171835,513,1128.33,0.14941675000000032,0.0001,40458,0.018077213317155838,,
