time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/clip_range,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
5482496,6382,2677,858,-0.0015604318323312327,0.5781272649765015,-0.98741071857512,0.3170166015625,0.07328575104475021,-9.1,5.426971428571428e-05,10704,3980.15,0.021707885714285714,0.1988074560649693,0.00077713386,,
5484544,6384,2678,858,-0.0017399899079464376,0.6055493354797363,-0.972428448498249,0.2857666015625,0.06770920008420944,-9.13,5.419657142857143e-05,10708,3975.26,0.021678628571428573,0.1938109709881246,0.0007507053,,
5486592,6387,2679,859,-0.0015328040899476036,0.5258700847625732,-0.9663444180041552,0.299072265625,0.08834107965230942,-9.09,5.412342857142857e-05,10712,3984.6,0.02164937142857143,0.23326868750154972,0.0008132884,,
5488640,6389,2680,859,-0.001506524917203933,0.6317529082298279,-0.9748814180493355,0.3154296875,0.09717735648155212,-9.14,5.405028571428572e-05,10716,3994.96,0.02162011428571429,0.21011922834441066,0.0010210989,,
5490688,6391,2681,859,-0.0013788786309305578,0.3784075379371643,-0.9627281595021486,0.3062744140625,0.09881837666034698,-9.22,5.3977142857142865e-05,10720,3985.34,0.021590857142857148,0.24258791096508503,0.0009266288,,
5492736,6393,2682,859,-0.0020844847022090107,0.4975903630256653,-0.9845123328268528,0.271484375,0.08360164612531662,-9.39,5.390400000000001e-05,10724,3963.42,0.021561600000000004,0.23288134578615427,0.0005189704,,
5494784,6395,2683,859,-0.0016201247199205682,0.5861973762512207,-0.9708781130611897,0.317626953125,0.0816919133067131,-9.39,5.383085714285715e-05,10728,3963.42,0.021532342857142863,0.19612185284495354,0.00089470926,,
5496832,6397,2684,859,-0.001304806603002362,0.6249310970306396,-0.9624033831059933,0.28857421875,0.06603281944990158,-9.48,5.3757714285714296e-05,10732,3956.04,0.02150308571428572,0.18105572927743196,0.00050493574,,
5498880,6400,2685,859,-0.002504257281543687,0.6282796859741211,-0.999025410041213,0.28955078125,0.08720957487821579,-9.19,5.3684571428571415e-05,10736,3985.98,0.021473828571428568,0.2105019623413682,0.0006617798,,
5500000,,,,-0.001978694985155016,0.6217108964920044,-0.9627419617027044,0.3050537109375,0.07554532587528229,,5.361142857142856e-05,10740,,0.021444571428571424,0.2158264983445406,0.0007593377,4360.95,-7.05
