rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,train/loss,train/n_updates,train/learning_rate
-20.68,736,880,184302,0.0877051000000002,250,869.4,,,0.015971440821886063,21075,0.0001
-20.69,735,884,185157,0.08347284999999993,251,869.04,,,0.004505515098571777,21289,0.0001
-20.69,734,888,186081,0.0788990500000003,253,872.95,,,0.028117235749959946,21520,0.0001
-20.66,733,892,186988,0.07440940000000029,254,875.7,,,0.007292448077350855,21746,0.0001
-20.65,732,896,187881,0.06998905000000022,256,877.26,,,0.00561523949727416,21970,0.0001
-20.63,731,900,188737,0.06575185000000039,258,880.75,,,0.012068979442119598,22184,0.0001
-20.61,730,904,189641,0.06127705000000039,259,882.3,,,0.02701406553387642,22410,0.0001
-20.61,729,908,190495,0.05704974999999968,261,883.56,,,0.008379761129617691,22623,0.0001
-20.59,728,912,191344,0.052847200000000205,262,885.97,,,0.003992397803813219,22835,0.0001
-20.6,727,916,192124,0.0489862000000002,264,883.07,,,0.008166072890162468,23030,0.0001
-20.59,726,920,193047,0.04441735000000013,265,885.52,,,0.004509581718593836,23261,0.0001
-20.59,725,924,193917,0.040110850000000475,267,885.0,,,0.00790615938603878,23479,0.0001
-20.6,724,928,194719,0.03614094999999973,268,882.11,,,0.0064457436092197895,23679,0.0001
-20.6,723,932,195606,0.03175030000000034,270,886.35,,,0.007174097932875156,23901,0.0001
-20.61,722,936,196465,0.027498250000000612,271,887.32,,,0.0062203174456954,24116,0.0001
-20.59,721,940,197380,0.022969000000000572,273,890.66,,,0.010517742484807968,24344,0.0001
-20.58,720,944,198254,0.018642700000000456,275,890.98,,,0.00754181295633316,24563,0.0001
-20.6,719,948,199228,0.013821400000000317,276,892.42,,,0.03996628522872925,24806,0.0001
,,,200000,0.010004949999999901,,,-20.45,1197.55,0.010730287060141563,24999,0.0001
-20.61,699,952,200139,0.01,286,896.11,,,0.007488367147743702,25034,0.0001
-20.61,698,956,201023,0.01,287,897.44,,,0.009913032874464989,25255,0.0001
-20.59,697,960,202021,0.01,289,905.01,,,0.005879867356270552,25505,0.0001
-20.6,696,964,202888,0.01,291,904.9,,,0.00813964195549488,25721,0.0001
-20.59,695,968,203810,0.01,292,907.68,,,0.006003984250128269,25952,0.0001
-20.58,695,972,204732,0.01,294,910.78,,,0.006458669900894165,26182,0.0001
-20.56,694,976,205680,0.01,296,911.48,,,0.03243563324213028,26419,0.0001
-20.57,693,980,206482,0.01,297,909.52,,,0.0024877325631678104,26620,0.0001
-20.58,692,984,207391,0.01,299,911.64,,,0.013620445504784584,26847,0.0001
-20.58,692,988,208212,0.01,300,907.84,,,0.008958345279097557,27052,0.0001
-20.58,691,992,209218,0.01,302,912.06,,,0.014214319176971912,27304,0.0001
-20.59,690,996,210216,0.01,304,916.09,,,0.006498903967440128,27553,0.0001
-20.59,689,1000,211219,0.01,306,921.83,,,0.0041756536811590195,27804,0.0001
-20.57,689,1004,212162,0.01,307,923.46,,,0.013018976897001266,28040,0.0001
-20.53,688,1008,213074,0.01,309,925.68,,,0.008204306475818157,28268,0.0001
-20.53,687,1012,213958,0.01,311,926.65,,,0.002311397111043334,28489,0.0001
-20.52,686,1016,214878,0.01,312,932.46,,,0.007631107233464718,28719,0.0001
-20.54,686,1020,215752,0.01,314,930.26,,,0.017769869416952133,28937,0.0001
-20.54,685,1024,216662,0.01,316,931.72,,,0.011116947047412395,29165,0.0001
-20.52,684,1028,217532,0.01,317,934.91,,,0.006339435465633869,29382,0.0001
-20.52,684,1032,218359,0.01,319,932.4,,,0.008702656254172325,29589,0.0001
-20.49,683,1036,219343,0.01,320,937.82,,,0.0087285116314888,29835,0.0001
-20.47,682,1040,220375,0.01,322,942.56,,,0.012703537940979004,30093,0.0001
-20.45,682,1044,221437,0.01,324,950.14,,,0.003572362009435892,30359,0.0001
-20.43,681,1048,222451,0.01,326,951.75,,,0.010457850061357021,30612,0.0001
-20.42,680,1052,223460,0.01,328,955.66,,,0.00313614122569561,30864,0.0001
-20.4,679,1056,224428,0.01,330,958.78,,,0.016574248671531677,31106,0.0001
-20.43,679,1060,225401,0.01,331,957.63,,,0.01845254749059677,31350,0.0001
-20.41,678,1064,226404,0.01,333,963.06,,,0.007494291290640831,31600,0.0001
-20.39,678,1068,227437,0.01,335,967.7,,,0.006447665859013796,31859,0.0001
-20.39,677,1072,228541,0.01,337,975.35,,,0.017940545454621315,32135,0.0001
-20.43,676,1076,229671,0.01,339,982.55,,,0.007998079992830753,32417,0.0001
-20.43,675,1080,230656,0.01,341,989.94,,,0.01834292896091938,32663,0.0001
-20.42,675,1084,231555,0.01,342,989.67,,,0.014997399412095547,32888,0.0001
-20.42,674,1088,232497,0.01,344,994.52,,,0.0073714908212423325,33124,0.0001
-20.45,674,1092,233441,0.01,346,991.89,,,0.021501410752534866,33360,0.0001
-20.47,673,1096,234355,0.01,347,988.71,,,0.00893827062100172,33588,0.0001
-20.44,673,1100,235392,0.01,349,990.2,,,0.011232559569180012,33847,0.0001
-20.44,672,1104,236528,0.01,351,997.6,,,0.011223629117012024,34131,0.0001
-20.43,671,1108,237528,0.01,353,1001.16,,,0.007407074794173241,34381,0.0001
-20.4,671,1112,238514,0.01,355,1005.18,,,0.005658433772623539,34628,0.0001
-20.37,670,1116,239569,0.01,357,1010.65,,,0.0073265680111944675,34892,0.0001
-20.36,670,1120,240503,0.01,358,1013.17,,,0.007182904984802008,35125,0.0001
-20.34,669,1124,241454,0.01,360,1014.81,,,0.005025632679462433,35363,0.0001
-20.34,668,1128,242469,0.01,362,1020.26,,,0.036255236715078354,35617,0.0001
-20.35,668,1132,243512,0.01,364,1028.64,,,0.015665965154767036,35877,0.0001
-20.37,667,1136,244412,0.01,366,1024.69,,,0.027741214260458946,36102,0.0001
-20.35,667,1140,245480,0.01,367,1026.3,,,0.01679326221346855,36369,0.0001
-20.37,666,1144,246430,0.01,369,1021.54,,,0.025387052446603775,36607,0.0001
-20.38,666,1148,247346,0.01,371,1017.7,,,0.012092502787709236,36836,0.0001
-20.37,665,1152,248362,0.01,373,1017.83,,,0.01764719933271408,37090,0.0001
-20.39,665,1156,249287,0.01,374,1016.15,,,0.005971719976514578,37321,0.0001
-20.35,664,1160,250283,0.01,376,1017.21,,,0.01737699657678604,37570,0.0001
-20.34,664,1164,251335,0.01,378,1019.1,,,0.010592468082904816,37833,0.0001
-20.34,663,1168,252318,0.01,380,1016.97,,,0.003230135887861252,38079,0.0001
-20.32,663,1172,253298,0.01,381,1012.04,,,0.005802469793707132,38324,0.0001
-20.31,662,1176,254268,0.01,383,1005.56,,,0.0037585743702948093,38566,0.0001
-20.3,662,1180,255258,0.01,385,1005.54,,,0.008845481090247631,38814,0.0001
-20.3,661,1184,256176,0.01,387,1006.28,,,0.008673125877976418,39043,0.0001
-20.29,661,1188,257184,0.01,388,1008.76,,,0.016657689586281776,39295,0.0001
-20.25,660,1192,258160,0.01,390,1010.04,,,0.004078153520822525,39539,0.0001
-20.24,660,1196,259119,0.01,392,1012.02,,,0.011640196666121483,39779,0.0001
-20.26,659,1200,260112,0.01,394,1010.26,,,0.013115856796503067,40027,0.0001
-20.24,659,1204,261168,0.01,396,1007.68,,,0.012068559415638447,40291,0.0001
-20.21,658,1208,262297,0.01,398,1012.76,,,0.02036399580538273,40574,0.0001
-20.19,658,1212,263464,0.01,400,1020.17,,,0.005985252559185028,40865,0.0001
-20.13,657,1216,264726,0.01,402,1028.29,,,0.009346209466457367,41181,0.0001
-20.11,657,1220,265693,0.01,404,1029.55,,,0.014878145419061184,41423,0.0001
-20.12,656,1224,266752,0.01,406,1033.97,,,0.009046139195561409,41687,0.0001
-20.1,656,1228,267822,0.01,408,1036.13,,,0.012683474458754063,41955,0.0001
-20.02,655,1232,269011,0.01,410,1042.21,,,0.014227374456822872,42252,0.0001
-19.95,655,1236,270040,0.01,412,1047.64,,,0.0036771781742572784,42509,0.0001
-19.9,654,1240,271358,0.01,414,1057.42,,,0.007300017401576042,42839,0.0001
-19.88,654,1244,272470,0.01,416,1063.86,,,0.005890758242458105,43117,0.0001
-19.88,653,1248,273447,0.01,418,1066.59,,,0.011199425905942917,43361,0.0001
-19.82,653,1252,274633,0.01,420,1073.54,,,0.007566933520138264,43658,0.0001
-19.79,652,1256,275609,0.01,422,1075.99,,,0.005673537030816078,43902,0.0001
