time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
3973,6.76,150.35,1167360,570,293,0.05053398758172989,0.18456841073930264,2276,0.2,-0.003712989651830867,0.006718536,-1.2221446260809898,0.9485298991203308,0.00025,0.0450439453125,,
3974,6.72,149.86,1169408,571,294,0.10473745316267014,0.2921803640201688,2280,0.2,-0.001620949391508475,0.0047229906,-1.0364138782024384,0.9213728308677673,0.00025,0.0528564453125,,
3975,6.75,151.07,1171456,572,294,0.1005244180560112,0.21374359261244535,2284,0.2,-0.0035851491265930235,0.010808123,-1.0425618663430214,0.9302035570144653,0.00025,0.066162109375,,
3975,6.72,150.95,1173504,573,295,0.07796292006969452,0.2624080963432789,2288,0.2,-0.0007048841216601431,0.0050959093,-0.9853428937494755,0.9246071577072144,0.00025,0.06591796875,,
3975,6.78,152.07,1175552,574,295,0.1200832650065422,0.31495752930641174,2292,0.2,-0.0034165866672992706,0.0057143047,-1.0039829909801483,0.9233410954475403,0.00025,0.0565185546875,,
3976,6.74,151.69,1177600,575,296,0.11849801987409592,0.27784752286970615,2296,0.2,-0.001957991364179179,0.005945373,-1.0619326159358025,0.9253085851669312,0.00025,0.0408935546875,,
3976,6.64,149.48,1179648,576,296,0.07808726280927658,0.23134314455091953,2300,0.2,-0.0033054149243980646,0.014319093,-1.0530168637633324,0.9363541603088379,0.00025,0.0687255859375,,
3977,6.63,149.71,1181696,577,297,0.10153795778751373,0.25840122904628515,2304,0.2,-0.003016130329342559,0.012459713,-1.0138388499617577,0.9124702215194702,0.00025,0.0927734375,,
3977,6.76,150.22,1183744,578,297,0.12314242869615555,0.2977755004540086,2308,0.2,-0.005420305184088647,0.009102454,-1.0404380112886429,0.8981823325157166,0.00025,0.140380859375,,
3978,6.79,149.44,1185792,579,298,0.11475486308336258,0.2413632059469819,2312,0.2,-0.0060248933150433,0.0146934185,-1.0670467913150787,0.9277140498161316,0.00025,0.1124267578125,,
3979,6.78,150.99,1187840,580,298,0.13395720720291138,0.30828843731433153,2316,0.2,0.0016911232669372112,0.033190615,-1.021889016032219,0.9113609194755554,0.00025,0.1025390625,,
3979,6.83,151.1,1189888,581,299,0.09697932749986649,0.23146063089370728,2320,0.2,-0.002454811241477728,0.009292567,-1.0121415741741657,0.9362440705299377,0.00025,0.067626953125,,
3980,6.79,149.64,1191936,582,299,0.11690114438533783,0.2525040786713362,2324,0.2,-0.004927651607431471,0.0062342864,-1.0992080122232437,0.9378758668899536,0.00025,0.0379638671875,,
3980,6.83,150.96,1193984,583,299,0.10852476209402084,0.23999658785760403,2328,0.2,-0.0009692409075796604,0.0076483125,-1.0966228619217873,0.9360086917877197,0.00025,0.03955078125,,
3981,6.92,152.41,1196032,584,300,0.11325781047344208,0.27637981344014406,2332,0.2,0.000215741281863302,0.00868931,-1.0303881354629993,0.9234472513198853,0.00025,0.0748291015625,,
3981,6.94,151.7,1198080,585,300,0.12085399031639099,0.22103923838585615,2336,0.2,-0.004776822926942259,0.004323163,-1.0898228362202644,0.9385121464729309,0.00025,0.046142578125,,
,,,1200000,,,0.1624135673046112,0.34392825327813625,2340,0.2,-0.0005947629106231034,0.0063513904,-0.9813982993364334,0.9105229377746582,0.00025,0.0517578125,153.6,7.7
3951,6.92,151.54,1200128,586,303,,,,,,,,,,,,
3951,6.96,152.83,1202176,587,304,0.11424563080072403,0.2816822053864598,2344,0.2,-0.0017909166344907135,0.013308791,-1.1786235943436623,0.9297722578048706,0.00025,0.05810546875,,
3952,6.95,153.21,1204224,588,304,0.12484914064407349,0.2926968317478895,2348,0.2,-0.0004839964385610074,0.005964268,-1.0690848007798195,0.9250552654266357,0.00025,0.069091796875,,
3952,6.99,151.87,1206272,589,305,0.1107606589794159,0.2650252990424633,2352,0.2,-0.0041073815955314785,0.009428989,-1.130631372332573,0.9327125549316406,0.00025,0.0633544921875,,
3953,7.0,151.6,1208320,590,305,0.1271606683731079,0.29220137372612953,2356,0.2,-0.0004937275080010295,0.009050662,-0.9813242591917515,0.9258454442024231,0.00025,0.05615234375,,
3954,7.02,153.31,1210368,591,306,0.12976102530956268,0.2927217576652765,2360,0.2,-0.000992529676295817,0.009177581,-1.0843554884195328,0.9331713318824768,0.00025,0.0618896484375,,
3954,7.01,153.55,1212416,592,306,0.06485801935195923,0.22446688450872898,2364,0.2,-0.0014633628888987005,0.0067642247,-1.111368551850319,0.9307105541229248,0.00025,0.0377197265625,,
3955,7.04,154.55,1214464,593,307,0.08544781804084778,0.2507073236629367,2368,0.2,-0.004332042910391465,0.010003304,-1.0482202917337418,0.9261530637741089,0.00025,0.056884765625,,
3956,7.11,153.48,1216512,594,307,0.07486070692539215,0.22366732824593782,2372,0.2,0.001536399475298822,0.008405168,-1.0181572958827019,0.9392240047454834,0.00025,0.070068359375,,
3956,7.15,153.2,1218560,595,307,0.11830790340900421,0.2884162561967969,2376,0.2,0.0001074574829544872,0.0064136237,-1.0743215903639793,0.9205559492111206,0.00025,0.0611572265625,,
3957,7.11,153.49,1220608,596,308,0.1124824583530426,0.2786625660955906,2380,0.2,-0.0005284412472974509,0.015751706,-1.0164092108607292,0.9260983467102051,0.00025,0.06494140625,,
3958,7.08,153.85,1222656,597,308,0.0975523442029953,0.26620988082140684,2384,0.2,-0.0021588036906905472,0.00555085,-1.093626506626606,0.9339392781257629,0.00025,0.053466796875,,
3958,7.07,153.84,1224704,598,309,0.14235003292560577,0.2940042279660702,2388,0.2,-0.0037243723636493087,0.006635259,-1.0660161972045898,0.9207744598388672,0.00025,0.0386962890625,,
3959,6.99,152.55,1226752,599,309,0.08183588087558746,0.2624117601662874,2392,0.2,-0.004108402703423053,0.009469727,-1.033166702836752,0.9275654554367065,0.00025,0.0469970703125,,
3960,7.01,152.22,1228800,600,310,0.11559246480464935,0.3407482020556927,2396,0.2,-0.001392101083183661,0.005472733,-0.9146200567483902,0.9160920977592468,0.00025,0.0611572265625,,
3960,6.88,150.73,1230848,601,310,0.09320934116840363,0.2326227156445384,2400,0.2,0.0007042604556772858,0.008599516,-0.9927191995084286,0.9402060508728027,0.00025,0.0738525390625,,
3961,6.78,150.14,1232896,602,311,0.11222241818904877,0.25947930570691824,2404,0.2,-0.00022128052660264075,0.007873187,-0.9574028849601746,0.9348882436752319,0.00025,0.059326171875,,
3962,6.77,149.52,1234944,603,311,0.11631539463996887,0.2484839204698801,2408,0.2,-0.0007543233805336058,0.0138449995,-1.008669525384903,0.9391552805900574,0.00025,0.0816650390625,,
3962,6.78,149.27,1236992,604,312,0.09884163737297058,0.2747062472626567,2412,0.2,-0.004218518879497424,0.011246688,-1.0132547169923782,0.9245142936706543,0.00025,0.0877685546875,,
3963,6.84,150.55,1239040,605,312,0.13973551988601685,0.30943688564002514,2416,0.2,0.002938146353699267,0.010196932,-1.007490936666727,0.9090735912322998,0.00025,0.0640869140625,,
3964,6.88,149.73,1241088,606,313,0.08618734776973724,0.2509570987895131,2420,0.2,0.0026849528949242085,0.016702328,-1.056660458445549,0.9289622902870178,0.00025,0.0953369140625,,
3965,6.95,151.26,1243136,607,313,0.10554828494787216,0.2602631729096174,2424,0.2,-0.0010784965270431712,0.0053973394,-0.9210648946464062,0.9351422786712646,0.00025,0.051513671875,,
3965,7.05,152.4,1245184,608,314,0.1148485392332077,0.2761195367202163,2428,0.2,-0.0005340871284715831,0.014083782,-0.9959068112075329,0.9353523254394531,0.00025,0.0869140625,,
3965,7.12,153.82,1247232,609,314,0.1245921403169632,0.2783152060583234,2432,0.2,0.0014732900017406791,0.0072649852,-1.1175511553883553,0.9364838004112244,0.00025,0.0733642578125,,
3966,7.15,155.24,1249280,610,314,0.11652198433876038,0.28080417960882187,2436,0.2,-0.003919395268894732,0.011788827,-1.1646145209670067,0.9261845946311951,0.00025,0.0704345703125,,
3966,7.1,155.13,1251328,611,315,0.1675664335489273,0.36681134067475796,2440,0.2,-0.0012512948596850038,0.00697391,-1.0664537847042084,0.9131534695625305,0.00025,0.0545654296875,,
3967,7.09,155.08,1253376,612,315,0.14390380680561066,0.30116938706487417,2444,0.2,0.0011625477927736938,0.018344149,-1.0143727660179138,0.91255784034729,0.00025,0.0963134765625,,
3968,7.0,154.35,1255424,613,316,0.09059593081474304,0.2190437251701951,2448,0.2,-0.0004997720971005037,0.013109722,-1.0332439430058002,0.935759961605072,0.00025,0.0762939453125,,
