rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
0.01,979.55,217656,674,-20.56,322,1028,,,29413,0.0001,0.00868004746735096
0.01,981.92,218550,673,-20.55,324,1032,,,29637,0.0001,0.006844282150268555
0.01,982.9,219492,673,-20.57,326,1036,,,29872,0.0001,0.005845922976732254
0.01,992.02,220635,672,-20.56,328,1040,,,30158,0.0001,0.013721248134970665
0.01,1002.06,221815,671,-20.58,330,1044,,,30453,0.0001,0.0074682692065835
0.01,1010.88,222862,670,-20.55,332,1048,,,30715,0.0001,0.003606101730838418
0.01,1014.52,223850,670,-20.55,333,1052,,,30962,0.0001,0.008268489502370358
0.01,1018.32,224874,669,-20.56,335,1056,,,31218,0.0001,0.012553892098367214
0.01,1012.06,225805,669,-20.61,337,1060,,,31451,0.0001,0.0066419318318367004
0.01,1007.62,226689,668,-20.62,339,1064,,,31672,0.0001,0.010424390435218811
0.01,1007.39,227649,667,-20.61,340,1068,,,31912,0.0001,0.00490139564499259
0.01,1005.43,228588,667,-20.61,342,1072,,,32146,0.0001,0.01188801508396864
0.01,1007.83,229599,666,-20.62,344,1076,,,32399,0.0001,0.012801802717149258
0.01,1012.25,230576,666,-20.62,346,1080,,,32643,0.0001,0.01711372286081314
0.01,1015.22,231596,665,-20.63,347,1084,,,32898,0.0001,0.003954053856432438
0.01,1020.12,232681,665,-20.64,349,1088,,,33170,0.0001,0.019313441589474678
0.01,1016.66,233625,664,-20.66,351,1092,,,33406,0.0001,0.0369579903781414
0.01,1013.47,234563,664,-20.68,353,1096,,,33640,0.0001,0.0055573307909071445
0.01,1018.03,235686,663,-20.65,355,1100,,,33921,0.0001,0.048566803336143494
0.01,1018.21,236669,662,-20.65,357,1104,,,34167,0.0001,0.005700468085706234
0.01,1019.88,237703,662,-20.63,358,1108,,,34425,0.0001,0.024389978498220444
0.01,1021.01,238775,661,-20.61,360,1112,,,34693,0.0001,0.009957041591405869
0.01,1021.69,239811,661,-20.6,362,1116,,,34952,0.0001,0.0091408621519804
0.01,1026.64,240866,660,-20.58,364,1120,,,35216,0.0001,0.005988991819322109
0.01,1030.8,241856,660,-20.56,366,1124,,,35463,0.0001,0.018069904297590256
0.01,1035.3,242981,659,-20.58,368,1128,,,35745,0.0001,0.003895461093634367
0.01,1038.82,243965,659,-20.56,370,1132,,,35991,0.0001,0.007828540168702602
0.01,1041.56,244978,658,-20.57,371,1136,,,36244,0.0001,0.007221051026135683
0.01,1030.31,245832,658,-20.59,373,1140,,,36457,0.0001,0.0058556594885885715
0.01,1021.42,246796,657,-20.59,375,1144,,,36698,0.0001,0.006928971037268639
0.01,1016.76,247730,657,-20.6,376,1148,,,36932,0.0001,0.011997999623417854
0.01,1013.78,248639,656,-20.6,378,1152,,,37159,0.0001,0.007021249271929264
0.01,1016.09,249715,656,-20.57,380,1156,,,37428,0.0001,0.017419204115867615
0.01,1020.33,250759,655,-20.56,382,1160,,,37689,0.0001,0.004572540521621704
0.01,1023.27,251714,655,-20.55,384,1164,,,37928,0.0001,0.010454880073666573
0.01,1023.46,252677,654,-20.55,385,1168,,,38169,0.0001,0.01386970840394497
0.01,1023.04,253601,654,-20.53,387,1172,,,38400,0.0001,0.00943299476057291
0.01,1020.78,254545,653,-20.52,389,1176,,,38636,0.0001,0.004473084583878517
0.01,1022.9,255580,653,-20.5,391,1180,,,38894,0.0001,0.007101999130100012
0.01,1021.18,256553,652,-20.51,392,1184,,,39138,0.0001,0.021840283647179604
0.01,1017.48,257535,652,-20.51,394,1188,,,39383,0.0001,0.006486839614808559
0.01,1028.15,258741,651,-20.5,396,1192,,,39685,0.0001,0.0027261036448180676
0.01,1027.17,259653,651,-20.5,398,1196,,,39913,0.0001,0.008297216147184372
0.01,1021.22,260637,651,-20.52,400,1200,,,40159,0.0001,0.008640481159090996
0.01,1019.97,261594,650,-20.53,402,1204,,,40398,0.0001,0.011483957059681416
0.01,1021.07,262658,650,-20.53,403,1208,,,40664,0.0001,0.014860628172755241
0.01,1020.87,263733,649,-20.55,405,1212,,,40933,0.0001,0.01470678299665451
0.01,1018.53,264708,649,-20.57,407,1216,,,41176,0.0001,0.0067131612449884415
0.01,1012.83,265620,649,-20.6,409,1220,,,41404,0.0001,0.005914806388318539
0.01,1010.26,266553,648,-20.6,410,1224,,,41638,0.0001,0.004043072462081909
0.01,1007.53,267606,648,-20.62,412,1228,,,41901,0.0001,0.005167964845895767
0.01,1007.34,268586,647,-20.63,414,1232,,,42146,0.0001,0.025100383907556534
0.01,1004.21,269521,647,-20.64,416,1236,,,42380,0.0001,0.006166838109493256
0.01,1009.73,270519,647,-20.62,418,1240,,,42629,0.0001,0.004877787549048662
0.01,1008.9,271457,646,-20.61,419,1244,,,42864,0.0001,0.009295150637626648
0.01,1013.12,272484,646,-20.6,421,1248,,,43120,0.0001,0.006276366300880909
0.01,1019.22,273551,645,-20.6,423,1252,,,43387,0.0001,0.005682929418981075
0.01,1017.06,274578,645,-20.63,425,1256,,,43644,0.0001,0.008083779364824295
0.01,1021.63,275736,645,-20.6,427,1260,,,43933,0.0001,0.027773212641477585
0.01,1020.05,276654,644,-20.6,429,1264,,,44163,0.0001,0.009024135768413544
0.01,1023.42,277711,644,-20.6,431,1268,,,44427,0.0001,0.007548520341515541
0.01,1024.68,278679,643,-20.61,432,1272,,,44669,0.0001,0.004311876837164164
0.01,1029.62,279753,643,-20.62,434,1276,,,44938,0.0001,0.007274683099240065
0.01,1035.38,280933,643,-20.6,436,1280,,,45233,0.0001,0.003460654290392995
0.01,1041.99,282076,642,-20.58,438,1284,,,45518,0.0001,0.008033345453441143
0.01,1043.91,283118,642,-20.57,440,1288,,,45779,0.0001,0.007902187295258045
0.01,1037.63,284168,642,-20.55,442,1292,,,46041,0.0001,0.009152702055871487
0.01,1042.63,285199,641,-20.56,444,1296,,,46299,0.0001,0.00740696070715785
0.01,1047.4,286293,641,-20.54,446,1300,,,46573,0.0001,0.006407414563000202
0.01,1060.29,287573,640,-20.51,448,1304,,,46893,0.0001,0.0053116269409656525
0.01,1064.72,288744,640,-20.53,450,1308,,,47185,0.0001,0.00919083971530199
0.01,1069.14,289936,640,-20.54,452,1312,,,47483,0.0001,0.004469568375498056
0.01,1077.29,291113,639,-20.52,455,1316,,,47778,0.0001,0.01191543135792017
0.01,1090.14,292348,639,-20.47,457,1320,,,48086,0.0001,0.0044089737348258495
0.01,1099.32,293507,638,-20.49,459,1324,,,48376,0.0001,0.004105416126549244
0.01,1097.96,294530,638,-20.48,461,1328,,,48632,0.0001,0.013319067656993866
0.01,1104.19,295670,638,-20.47,463,1332,,,48917,0.0001,0.00962003506720066
0.01,1118.37,296958,637,-20.45,465,1336,,,49239,0.0001,0.010322730988264084
0.01,1126.86,298160,637,-20.45,467,1340,,,49539,0.0001,0.011093604378402233
0.01,1128.99,299155,637,-20.44,469,1344,,,49788,0.0001,0.012235674075782299
0.01,,300000,,,,,-19.5,1376.2,49999,0.0001,0.009390265680849552
0.01,1138.05,300420,625,-20.42,480,1348,,,50104,0.0001,0.005779363214969635
0.01,1141.3,301566,624,-20.41,482,1352,,,50391,0.0001,0.008385198190808296
0.01,1147.38,302750,624,-20.35,484,1356,,,50687,0.0001,0.010165983811020851
0.01,1147.99,303920,624,-20.35,486,1360,,,50979,0.0001,0.0066294255666434765
0.01,1164.65,305253,624,-20.32,489,1364,,,51313,0.0001,0.02393805980682373
0.01,1171.11,306475,623,-20.3,491,1368,,,51618,0.0001,0.02305077761411667
0.01,1184.81,307777,623,-20.25,493,1372,,,51944,0.0001,0.0031463168561458588
0.01,1186.38,308888,623,-20.23,495,1376,,,52221,0.0001,0.019771555438637733
0.01,1190.83,310184,622,-20.21,497,1380,,,52545,0.0001,0.006150524597615004
0.01,1186.36,311220,622,-20.22,499,1384,,,52804,0.0001,0.006704410072416067
0.01,1190.35,312352,622,-20.23,501,1388,,,53087,0.0001,0.009721647948026657
0.01,1196.3,313554,622,-20.23,504,1392,,,53388,0.0001,0.03167872875928879
0.01,1201.76,314729,621,-20.23,506,1396,,,53682,0.0001,0.007525624707341194
0.01,1210.13,316038,621,-20.22,508,1400,,,54009,0.0001,0.01121750008314848
0.01,1199.88,317055,621,-20.25,510,1404,,,54263,0.0001,0.011101428419351578
0.01,1203.57,318323,621,-20.22,512,1408,,,54580,0.0001,0.030014369636774063
