time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,rollout/ep_rew_mean,train/value_loss,eval/mean_ep_length,eval/mean_reward
215040,951,105,226,962.08,0.001164166,416,0.02392578125,-1.3273584470152855,0.1,0.00025,0.00016224783030338585,0.9339216947555542,0.10097915679216385,-20.64,0.20495483465492725,,
217088,951,106,228,959.16,0.0014507218,420,0.0234375,-1.365299828350544,0.1,0.00025,-0.000490358128445223,0.9630874395370483,0.09351876378059387,-20.66,0.21876920759677887,,
219136,951,107,230,958.84,0.0018628212,424,0.0123291015625,-1.2599745467305183,0.1,0.00025,0.0004970387672074139,0.9446710348129272,0.08021628856658936,-20.62,0.16791848000138998,,
221184,951,108,232,958.96,0.002154617,428,0.040283203125,-1.3054253458976746,0.1,0.00025,-0.0005313532019499689,0.9719303250312805,0.07000824064016342,-20.62,0.18160325475037098,,
223232,951,109,234,961.02,0.0028592516,432,0.0469970703125,-1.3165097758173943,0.1,0.00025,-0.0007657243404537439,0.953403115272522,0.07307539880275726,-20.62,0.19197402615100145,,
225280,951,110,236,956.74,0.0009681714,436,0.0084228515625,-1.3349081128835678,0.1,0.00025,-0.00034953313297592103,0.966141939163208,0.06075437739491463,-20.58,0.16261830367147923,,
227328,951,111,238,953.47,0.0005093875,440,0.0281982421875,-1.3674665838479996,0.1,0.00025,-0.00014405205729417503,0.9693245887756348,0.05563720688223839,-20.59,0.16214720159769058,,
229376,951,112,241,951.55,0.0055001127,444,0.129150390625,-1.3418483808636665,0.1,0.00025,0.0004203924909234047,0.9557188153266907,0.051261983811855316,-20.6,0.15803016675636172,,
231424,951,113,243,947.83,0.0014533948,448,0.0556640625,-1.3665347769856453,0.1,0.00025,0.0016833782428875566,0.9704896211624146,0.08154957741498947,-20.63,0.17819994408637285,,
233472,951,114,245,943.91,0.0028746293,452,0.04443359375,-1.3889941275119781,0.1,0.00025,4.4948537833988667e-05,0.9677575826644897,0.13051965832710266,-20.65,0.15792394569143653,,
235520,951,115,247,945.2,0.0014061038,456,0.0418701171875,-1.365880809724331,0.1,0.00025,3.5854551242664456e-05,0.9524972438812256,0.09573341906070709,-20.65,0.23609252460300922,,
237568,951,116,249,955.61,0.0008919491,460,0.0125732421875,-1.3934103399515152,0.1,0.00025,-0.0007362418109551072,0.9481846690177917,0.08627022802829742,-20.65,0.21838062349706888,,
239616,951,117,251,950.04,0.0010695906,464,0.0301513671875,-1.4158036336302757,0.1,0.00025,0.0002443909033900127,0.9716700911521912,0.05125558003783226,-20.64,0.14440133655443788,,
241664,951,118,253,949.29,0.0024107846,468,0.0382080078125,-1.4063798189163208,0.1,0.00025,-0.0011843045067507774,0.9637000560760498,0.07843372970819473,-20.65,0.17997073289006948,,
243712,951,119,256,951.96,0.0039207134,472,0.08837890625,-1.378989115357399,0.1,0.00025,-0.00032004533568397164,0.932687520980835,0.08756732940673828,-20.65,0.21220830734819174,,
245760,951,120,258,947.76,0.0032398265,476,0.0599365234375,-1.3879050984978676,0.1,0.00025,-0.0007035431626718491,0.975619912147522,0.04470651224255562,-20.68,0.13313182676211,,
