time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
836,799,179620,224,0.8221762000000001,890.95,-20.6,,,0.0001,19904,0.0032638306729495525
840,798,180509,225,0.8212960899999999,891.7,-20.59,,,0.0001,20127,0.040980029851198196
844,797,181397,227,0.8204169699999999,890.72,-20.61,,,0.0001,20349,0.0050151413306593895
848,796,182229,228,0.81959329,892.14,-20.62,,,0.0001,20557,0.0280758086591959
852,796,183111,230,0.81872011,892.26,-20.63,,,0.0001,20777,0.014451018534600735
856,795,183936,231,0.8179033599999999,890.69,-20.65,,,0.0001,20983,0.008124353364109993
860,794,184734,232,0.81711334,883.76,-20.7,,,0.0001,21183,0.007161338813602924
864,793,185587,233,0.81626887,881.95,-20.72,,,0.0001,21396,0.0033381623215973377
868,793,186481,235,0.8153838099999999,881.22,-20.72,,,0.0001,21620,0.018136179074645042
872,792,187288,236,0.8145848799999998,881.85,-20.71,,,0.0001,21821,0.032640837132930756
876,791,188167,237,0.81371467,882.94,-20.69,,,0.0001,22041,0.005379902198910713
880,790,189048,239,0.8128424799999999,880.88,-20.67,,,0.0001,22261,0.011045165359973907
884,789,189937,240,0.81196237,884.4,-20.67,,,0.0001,22484,0.007243114523589611
888,789,190848,241,0.8110604800000001,884.53,-20.68,,,0.0001,22711,0.01617046631872654
892,788,191721,243,0.81019621,886.57,-20.67,,,0.0001,22930,0.004827314987778664
896,787,192513,244,0.8094121300000001,884.29,-20.67,,,0.0001,23128,0.014587262645363808
900,786,193374,245,0.8085597400000001,885.24,-20.68,,,0.0001,23343,0.009724942967295647
904,786,194261,247,0.8076816099999999,885.54,-20.67,,,0.0001,23565,0.00433959998190403
908,785,195171,248,0.80678071,885.69,-20.66,,,0.0001,23792,0.003847946412861347
912,784,196055,249,0.8059055499999999,887.44,-20.67,,,0.0001,24013,0.014542781747877598
916,783,196978,251,0.8049917799999999,889.73,-20.69,,,0.0001,24244,0.014755863696336746
920,783,197859,252,0.80411959,888.07,-20.72,,,0.0001,24464,0.010229676961898804
924,782,198763,254,0.80322463,891.0,-20.69,,,0.0001,24690,0.0063398610800504684
928,781,199675,255,0.80232175,893.73,-20.66,,,0.0001,24918,0.008530673570930958
,,200000,,0.80200099,,,877.9,-20.9,0.0001,24999,0.0095792505890131
932,764,200587,262,0.8014188699999999,895.94,-20.64,,,0.0001,25146,0.004023032262921333
936,763,201442,263,0.80057242,895.12,-20.66,,,0.0001,25360,0.012019788846373558
940,763,202282,265,0.7997408199999999,893.06,-20.67,,,0.0001,25570,0.014508772641420364
944,762,203144,266,0.79888744,892.11,-20.69,,,0.0001,25785,0.009089651517570019
