rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
-16.78,767973,2918.74,255,1808,3008,0.01,0.0001,0.007681749761104584,189493,,
-16.72,770986,2931.1,255,1812,3019,0.01,0.0001,0.009216811507940292,190246,,
-16.78,774218,2939.57,255,1816,3031,0.01,0.0001,0.014020358212292194,191054,,
-16.8,777248,2938.36,255,1820,3041,0.01,0.0001,0.0070357900112867355,191811,,
-16.8,780260,2953.42,255,1824,3051,0.01,0.0001,0.009348016232252121,192564,,
-16.76,782967,2957.89,255,1828,3060,0.01,0.0001,0.025689858943223953,193241,,
-16.72,785882,2962.83,255,1832,3070,0.01,0.0001,0.013475747779011726,193970,,
-16.77,788728,2967.84,256,1836,3080,0.01,0.0001,0.003996566403657198,194681,,
-16.79,791251,2966.37,256,1840,3088,0.01,0.0001,0.007452706806361675,195312,,
-16.85,793902,2960.97,256,1844,3097,0.01,0.0001,0.008109725080430508,195975,,
-16.77,797170,2984.68,256,1848,3108,0.01,0.0001,0.011507568880915642,196792,,
,800000,,,,,0.01,0.0001,0.006247977260500193,197499,3136.95,-16.25
-16.65,800662,3000.22,253,1852,3159,0.01,0.0001,0.009323623962700367,197665,,
-16.61,804163,3003.91,253,1856,3173,0.01,0.0001,0.006199201103299856,198540,,
-16.6,807281,3010.43,253,1860,3184,0.01,0.0001,0.01723407208919525,199320,,
-16.72,810220,2986.36,253,1864,3195,0.01,0.0001,0.004765123128890991,200054,,
-16.63,813349,3021.36,253,1868,3208,0.01,0.0001,0.016402268782258034,200837,,
-16.57,816240,3021.4,253,1872,3219,0.01,0.0001,0.007408199366182089,201559,,
-16.47,819355,3034.83,253,1876,3231,0.01,0.0001,0.010976115241646767,202338,,
-16.36,822787,3051.22,253,1880,3245,0.01,0.0001,0.013148017227649689,203196,,
-16.32,825458,3041.05,253,1884,3255,0.01,0.0001,0.007885141298174858,203864,,
-16.28,828666,3043.12,253,1888,3268,0.01,0.0001,0.009148167446255684,204666,,
-16.39,831354,3032.25,253,1892,3278,0.01,0.0001,0.00910829845815897,205338,,
-16.36,834393,3037.58,253,1896,3290,0.01,0.0001,0.006336426828056574,206098,,
-16.29,837285,3022.57,253,1900,3301,0.01,0.0001,0.00885695219039917,206821,,
-16.24,840483,3036.9,253,1904,3313,0.01,0.0001,0.01459488458931446,207620,,
-16.13,844195,3070.77,253,1908,3327,0.01,0.0001,0.009569911286234856,208548,,
-16.11,847390,3078.52,253,1912,3340,0.01,0.0001,0.005954488180577755,209347,,
-16.1,850371,3068.29,253,1916,3351,0.01,0.0001,0.023576194420456886,210092,,
-16.13,852987,3051.95,253,1920,3361,0.01,0.0001,0.035628072917461395,210746,,
-16.05,856320,3065.3,253,1924,3374,0.01,0.0001,0.013351401314139366,211579,,
-16.0,859275,3075.85,253,1928,3386,0.01,0.0001,0.005170661024749279,212318,,
-15.96,862844,3101.74,253,1932,3400,0.01,0.0001,0.00663306750357151,213210,,
-15.83,866107,3118.56,253,1936,3413,0.01,0.0001,0.019212231040000916,214026,,
-15.72,869143,3139.03,253,1940,3425,0.01,0.0001,0.01703094318509102,214785,,
-15.71,871643,3133.09,253,1944,3434,0.01,0.0001,0.009569450281560421,215410,,
-15.68,875030,3138.19,253,1948,3447,0.01,0.0001,0.0038452595472335815,216257,,
-15.79,877951,3115.33,253,1952,3459,0.01,0.0001,0.007820267230272293,216987,,
-15.88,881160,3103.63,253,1956,3471,0.01,0.0001,0.015354374423623085,217789,,
-15.84,884517,3113.32,253,1960,3485,0.01,0.0001,0.009342089295387268,218629,,
-15.76,887589,3118.65,253,1964,3496,0.01,0.0001,0.009156221523880959,219397,,
-15.69,890946,3127.92,253,1968,3509,0.01,0.0001,0.014499075710773468,220236,,
-15.58,894370,3149.09,253,1972,3522,0.01,0.0001,0.03141878545284271,221092,,
-15.59,897491,3149.39,253,1976,3533,0.01,0.0001,0.010592753067612648,221872,,
,900000,,,,,0.01,0.0001,0.016001414507627487,222499,3414.85,-14.0
-15.69,900826,3145.5,251,1980,3588,0.01,0.0001,0.008734170347452164,222706,,
-15.64,904016,3166.39,251,1984,3600,0.01,0.0001,0.0058796037919819355,223503,,
-15.64,906762,3148.18,251,1988,3611,0.01,0.0001,0.008562593720853329,224190,,
-15.46,910196,3178.25,251,1992,3624,0.01,0.0001,0.008548927493393421,225048,,
-15.47,913274,3179.35,251,1996,3636,0.01,0.0001,0.008654707111418247,225818,,
-15.46,916246,3182.4,251,2000,3648,0.01,0.0001,0.01885885000228882,226561,,
-15.44,919237,3173.9,251,2004,3659,0.01,0.0001,0.02541407383978367,227309,,
-15.44,922505,3155.84,251,2008,3672,0.01,0.0001,0.01125506591051817,228126,,
-15.37,925850,3161.32,251,2012,3685,0.01,0.0001,0.005941116251051426,228962,,
-15.31,929132,3173.36,251,2016,3698,0.01,0.0001,0.008841637521982193,229782,,
-15.35,932045,3185.17,251,2020,3709,0.01,0.0001,0.01102038100361824,230511,,
-15.4,935059,3172.4,251,2024,3720,0.01,0.0001,0.010302436538040638,231264,,
-15.29,939001,3211.79,251,2028,3735,0.01,0.0001,0.009173722937703133,232250,,
-15.19,942220,3198.01,251,2032,3748,0.01,0.0001,0.005704941693693399,233054,,
-15.25,945522,3199.94,251,2036,3760,0.01,0.0001,0.007558218203485012,233880,,
-15.18,948681,3204.67,251,2040,3773,0.01,0.0001,0.011058574542403221,234670,,
-15.12,952065,3239.98,251,2044,3786,0.01,0.0001,0.024281617254018784,235516,,
-15.17,955390,3237.5,251,2048,3799,0.01,0.0001,0.010373568162322044,236347,,
-15.08,958983,3264.58,251,2052,3813,0.01,0.0001,0.009780830703675747,237245,,
-14.94,962898,3292.51,251,2056,3828,0.01,0.0001,0.0350840799510479,238224,,
-14.98,966288,3293.71,251,2060,3841,0.01,0.0001,0.01272155437618494,239071,,
-14.94,969494,3299.31,251,2064,3854,0.01,0.0001,0.01760929636657238,239873,,
-15.0,972510,3285.71,251,2068,3865,0.01,0.0001,0.009830567985773087,240627,,
-15.04,975856,3282.33,251,2072,3878,0.01,0.0001,0.009222283028066158,241463,,
-14.98,979251,3293.02,251,2076,3892,0.01,0.0001,0.004824438598006964,242312,,
-14.99,982509,3289.78,251,2080,3904,0.01,0.0001,0.003853411413729191,243127,,
-15.05,985692,3289.46,251,2084,3917,0.01,0.0001,0.005658688023686409,243922,,
-15.04,989171,3318.7,251,2088,3930,0.01,0.0001,0.008707556873559952,244792,,
-15.04,992714,3323.14,251,2092,3944,0.01,0.0001,0.00776374526321888,245678,,
-14.92,996186,3339.14,251,2096,3958,0.01,0.0001,0.01390085183084011,246546,,
-14.88,999665,3359.85,251,2100,3971,0.01,0.0001,0.013668055646121502,247416,,
,1000000,,,,,0.01,0.0001,0.011371211148798466,247499,3552.5,-14.5
-14.77,1003201,3381.82,248,2104,4030,0.01,0.0001,0.014240979216992855,248300,,
-14.68,1006628,3388.02,248,2108,4043,0.01,0.0001,0.0036370065063238144,249156,,
-14.68,1009650,3375.37,248,2112,4055,0.01,0.0001,0.01265039760619402,249912,,
-14.58,1013173,3384.78,248,2116,4069,0.01,0.0001,0.008218531496822834,250793,,
-14.57,1016112,3385.88,248,2120,4080,0.01,0.0001,0.007817303761839867,251527,,
-14.43,1019638,3406.11,249,2124,4094,0.01,0.0001,0.008830508217215538,252409,,
-14.5,1023133,3387.65,249,2128,4108,0.01,0.0001,0.01062079519033432,253283,,
-14.43,1026893,3409.59,249,2132,4123,0.01,0.0001,0.011757303960621357,254223,,
-14.35,1030198,3409.56,249,2136,4136,0.01,0.0001,0.009055315516889095,255049,,
-14.49,1033300,3407.21,249,2140,4148,0.01,0.0001,0.010803388431668282,255824,,
-14.42,1036980,3418.92,249,2144,4162,0.01,0.0001,0.009064380079507828,256744,,
-14.34,1040251,3416.26,249,2148,4175,0.01,0.0001,0.004906440153717995,257562,,
-14.38,1043546,3404.37,249,2152,4188,0.01,0.0001,0.00471116229891777,258386,,
-14.46,1046827,3379.19,249,2156,4200,0.01,0.0001,0.008244214579463005,259206,,
-14.37,1050464,3388.79,249,2160,4213,0.01,0.0001,0.030066868290305138,260115,,
-14.34,1053772,3393.08,249,2164,4225,0.01,0.0001,0.03408489376306534,260942,,
-14.23,1057163,3407.73,249,2168,4239,0.01,0.0001,0.01896117441356182,261790,,
-14.21,1060436,3404.82,249,2172,4251,0.01,0.0001,0.013399417512118816,262608,,
-14.17,1063921,3408.38,249,2176,4265,0.01,0.0001,0.005632448475807905,263480,,
-14.13,1067105,3405.38,249,2180,4276,0.01,0.0001,0.012841856107115746,264276,,
-14.06,1070365,3408.08,249,2184,4288,0.01,0.0001,0.014065390452742577,265091,,
-14.12,1073621,3399.44,249,2188,4300,0.01,0.0001,0.00638901861384511,265905,,
-14.15,1077162,3399.11,249,2192,4314,0.01,0.0001,0.015572848729789257,266790,,
-14.17,1080797,3405.51,249,2196,4328,0.01,0.0001,0.01906578615307808,267699,,
-14.19,1084098,3398.11,249,2200,4340,0.01,0.0001,0.016184134408831596,268524,,
-14.17,1087920,3409.55,249,2204,4354,0.01,0.0001,0.020078638568520546,269479,,
-14.16,1091823,3428.45,249,2208,4368,0.01,0.0001,0.02657594159245491,270455,,
-14.2,1095181,3441.37,249,2212,4381,0.01,0.0001,0.02474728599190712,271295,,
-14.3,1098289,3424.99,249,2216,4393,0.01,0.0001,0.006488723214715719,272072,,
,1100000,,,,,0.01,0.0001,0.016391433775424957,272499,3159.5,-15.7
-14.19,1101581,3439.18,247,2220,4445,0.01,0.0001,0.0061559188179671764,272895,,
-14.3,1104587,3418.42,247,2224,4457,0.01,0.0001,0.008991779759526253,273646,,
-14.34,1107193,3383.09,247,2228,4466,0.01,0.0001,0.008074777200818062,274298,,
-14.43,1110830,3377.65,247,2232,4480,0.01,0.0001,0.012163689360022545,275207,,
-14.5,1114082,3375.19,247,2236,4493,0.01,0.0001,0.02833280712366104,276020,,
-14.45,1117179,3375.34,247,2240,4504,0.01,0.0001,0.012490006163716316,276794,,
-14.44,1120765,3371.11,248,2244,4518,0.01,0.0001,0.010541780851781368,277691,,
-14.45,1124250,3379.84,248,2248,4532,0.01,0.0001,0.0023547946475446224,278562,,
-14.49,1127390,3373.46,248,2252,4544,0.01,0.0001,0.010483980178833008,279347,,
-14.54,1130683,3373.88,248,2256,4557,0.01,0.0001,0.016577381640672684,280170,,
-14.6,1133689,3349.09,248,2260,4569,0.01,0.0001,0.006922587752342224,280922,,
-14.6,1136934,3346.31,248,2264,4581,0.01,0.0001,0.015092077665030956,281733,,
-14.63,1140385,3348.99,248,2268,4595,0.01,0.0001,0.014812206849455833,282596,,
-14.62,1143579,3346.05,248,2272,4607,0.01,0.0001,0.02891886979341507,283394,,
-14.69,1146970,3342.42,248,2276,4620,0.01,0.0001,0.022348398342728615,284242,,
-14.7,1150424,3352.96,248,2280,4633,0.01,0.0001,0.025552326813340187,285105,,
-14.76,1153857,3360.22,248,2284,4647,0.01,0.0001,0.004768970888108015,285964,,
