time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
913,116736,57,127,224,0.02685546875,-1.6681646071374416,0.000245904,0.9764953851699829,0.12743894779123366,-0.00016803553444333375,-20.59,919.83,0.001623139,0.09836160000000001,0.04348007217049599,,
913,118784,58,130,228,0.0224609375,-1.6688055135309696,0.0002458308571428571,0.9824329614639282,0.10390363563783467,-0.0003615167224779725,-20.63,913.05,0.0018484455,0.09833234285714286,0.03186386078596115,,
913,120832,59,132,232,0.1292724609375,-1.6791932880878448,0.0002457577142857143,0.9690040349960327,0.15187904611229897,-0.0022284737933659926,-20.65,907.5,0.0024384805,0.09830308571428571,0.08452443033456802,,
913,122880,60,134,236,0.0972900390625,-1.666173778474331,0.0002456845714285714,0.9627988338470459,0.1548143858090043,-0.0029204782767919824,-20.66,906.64,0.0017260641,0.09827382857142858,0.04196273535490036,,
913,124928,61,136,240,0.0478515625,-1.673814568668604,0.0002456114285714286,0.9781084060668945,0.14377376856282353,-0.0005957433459116146,-20.62,917.33,0.001280479,0.09824457142857143,0.05870452895760536,,
913,126976,62,138,244,0.0225830078125,-1.6573730036616325,0.00024553828571428573,0.9642935395240784,0.15754718612879515,-0.0005182181193958968,-20.61,916.15,0.0018669136,0.09821531428571428,0.05060330778360367,,
914,129024,63,141,248,0.036376953125,-1.6186693832278252,0.0002454651428571429,0.9746785759925842,0.11565602757036686,-0.0005312030407367274,-20.62,915.26,0.0012808817,0.09818605714285715,0.033984359353780746,,
914,131072,64,143,252,0.0364990234375,-1.643913134932518,0.000245392,0.9604424238204956,0.19968591863289475,-0.0014420222287299111,-20.63,916.05,0.0020391562,0.0981568,0.06641477346420288,,
914,133120,65,145,256,0.0655517578125,-1.6408057771623135,0.00024531885714285714,0.9552973508834839,0.17001548735424876,-0.0007123381365090609,-20.65,908.22,0.0018620847,0.09812754285714287,0.050551071763038635,,
914,135168,66,147,260,0.0650634765625,-1.6526782400906086,0.0002452457142857143,0.9677373170852661,0.1956576113589108,-0.0004650114424293861,-20.63,911.42,0.0015069568,0.09809828571428572,0.06040757894515991,,
914,137216,67,150,264,0.0828857421875,-1.6411580741405487,0.00024517257142857144,0.9623391032218933,0.15519039100036025,-0.0017056699725799263,-20.63,908.04,0.0024193537,0.09806902857142857,0.04020339250564575,,
914,139264,68,152,268,0.0972900390625,-1.6344948932528496,0.0002450994285714286,0.9784582257270813,0.12259000330232084,-0.0019848937226925045,-20.66,911.69,0.003010522,0.09803977142857144,0.04729985073208809,,
914,141312,69,154,272,0.037109375,-1.640648353844881,0.00024502628571428575,0.9593122005462646,0.16386615205556154,-0.001304797682678327,-20.6,923.08,0.0008408987,0.09801051428571429,0.05376098304986954,,
914,143360,70,156,276,0.0418701171875,-1.6427397057414055,0.0002449531428571429,0.965066134929657,0.1460025953128934,-0.0008210663218051195,-20.61,924.33,0.0015961973,0.09798125714285716,0.0530831441283226,,
915,145408,71,158,280,0.0867919921875,-1.6462637446820736,0.00024488,0.965758204460144,0.15114766405895352,-0.0016833865083754063,-20.64,923.19,0.0019902934,0.097952,0.0518459752202034,,
915,147456,72,161,284,0.050048828125,-1.6267919354140759,0.00024480685714285715,0.9692692160606384,0.13104679994285107,-0.0013713673397433013,-20.65,920.02,0.0023080083,0.09792274285714286,0.043029554188251495,,
915,149504,73,163,288,0.056396484375,-1.6063930913805962,0.0002447337142857143,0.9658312797546387,0.1499452441930771,-0.0015517675346927717,-20.63,924.55,0.0011364103,0.09789348571428572,0.039987266063690186,,
915,151552,74,165,292,0.0374755859375,-1.5987542904913425,0.0002446605714285714,0.9719023108482361,0.12584758177399635,-0.0005816070770379156,-20.6,932.89,0.0021318812,0.09786422857142857,0.05738159269094467,,
915,153600,75,167,296,0.0623779296875,-1.6190394088625908,0.00024458742857142856,0.9665443301200867,0.16317692399024963,-0.0016494630253873765,-20.63,932.45,0.0016225327,0.09783497142857144,0.07520820945501328,,
915,155648,76,169,300,0.04248046875,-1.6127181686460972,0.0002445142857142857,0.9639345407485962,0.1419295258820057,-0.0010476455936441198,-20.65,932.68,0.0019724611,0.09780571428571429,0.04964989423751831,,
915,157696,77,172,304,0.0321044921875,-1.6398186646401882,0.00024444114285714286,0.9624632596969604,0.20954761561006308,-0.0004376878641778603,-20.68,935.47,0.00051231135,0.09777645714285715,0.06493233889341354,,
915,159744,78,174,308,0.046875,-1.628211472183466,0.000244368,0.9701608419418335,0.13731658924371004,-0.0007731739024166018,-20.69,929.06,0.0006883589,0.0977472,0.04817113280296326,,
