time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
3118,107.04,196608,328.16,63,96,0.094970703125,0.3899228572845459,1208.6861572265625,380,-0.5717543289065361,0.004157150338869542,3028.7999877929688,0.2,0.00025,0.020731714,,
3118,105.36,198656,321.44,63,97,0.0343017578125,0.3146299719810486,2661.7607421875,384,-0.3639463670551777,0.004516891756793484,4369.634292602539,0.2,0.00025,0.0030893916,,
3119,102.64,200704,310.56,64,98,0.0069580078125,0.1433875560760498,2412.6826171875,388,-0.2774200402200222,0.001174259523395449,5501.543365478516,0.2,0.00025,0.0026627048,,
3119,100.24,202752,300.96,64,99,0.0155029296875,0.21667146682739258,1793.64453125,392,-0.2791210897266865,-0.0001154577184934169,3996.065414428711,0.2,0.00025,0.00164053,,
3120,98.32,204800,293.28,65,100,0.0067138671875,0.22779661417007446,2025.76513671875,396,-0.2563500413671136,0.00029455978074111044,4259.178024291992,0.2,0.00025,0.001344169,,
3121,98.4,206848,293.6,66,101,0.0235595703125,0.24399089813232422,2383.65966796875,400,-0.33432595059275627,0.0025416212156414986,4435.621978759766,0.2,0.00025,0.0040307203,,
3121,101.04,208896,304.16,66,102,0.034423828125,0.26985955238342285,1335.5557861328125,404,-0.4241058621555567,0.0009363812860101461,2596.417190551758,0.2,0.00025,0.0039956993,,
3122,101.28,210944,305.12,67,103,0.0386962890625,0.3461776375770569,1591.40625,408,-0.41522837057709694,0.002715631388127804,2787.613983154297,0.2,0.00025,0.0027044816,,
3122,102.24,212992,308.96,68,104,0.03662109375,0.21094828844070435,2362.6103515625,412,-0.34949077665805817,0.0018755506607703865,4514.487548828125,0.2,0.00025,0.0025656046,,
3123,102.96,215040,311.84,68,105,0.0223388671875,0.29211682081222534,1260.8564453125,416,-0.36901621147990227,3.0730589060112834e-05,2838.0396881103516,0.2,0.00025,0.001536136,,
3123,102.24,217088,308.96,69,106,0.015869140625,0.2957940101623535,1530.6708984375,420,-0.343109093606472,-5.189096555113792e-06,3008.5150756835938,0.2,0.00025,0.0024125923,,
3124,100.32,219136,301.28,70,107,0.0115966796875,0.2913243770599365,1358.9805908203125,424,-0.35227157548069954,0.00013839300663676113,2784.6707763671875,0.2,0.00025,0.0008716134,,
