time/episodes,time/total_timesteps,time/fps,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
772,165405,811,0.8362490499999999,203,-20.79,884.35,,,0.0001,16351,0.005504544824361801
776,166263,810,0.83539963,205,-20.79,887.33,,,0.0001,16565,0.02089165896177292
780,167164,809,0.8345076399999999,206,-20.75,890.87,,,0.0001,16790,0.019573874771595
784,168031,808,0.83364931,207,-20.75,891.39,,,0.0001,17007,0.04129532352089882
788,168860,807,0.8328286,209,-20.74,892.7,,,0.0001,17214,0.0064813196659088135
792,169747,806,0.8319504699999999,210,-20.73,889.11,,,0.0001,17436,0.004631729796528816
796,170534,805,0.83117134,211,-20.76,881.73,,,0.0001,17633,0.004278979729861021
800,171429,804,0.83028529,212,-20.75,885.16,,,0.0001,17857,0.0074602095410227776
804,172330,803,0.8293932999999999,214,-20.73,886.92,,,0.0001,18082,0.006754114292562008
808,173253,802,0.8284795300000001,215,-20.72,887.33,,,0.0001,18313,0.004474597051739693
812,174072,801,0.82766872,217,-20.72,887.26,,,0.0001,18517,0.010956824757158756
816,174868,800,0.8268806799999999,218,-20.73,882.19,,,0.0001,18716,0.029118463397026062
820,175677,800,0.8260797699999999,219,-20.73,879.17,,,0.0001,18919,0.021707694977521896
824,176536,799,0.82522936,220,-20.73,877.88,,,0.0001,19133,0.006731174886226654
828,177378,798,0.8243957799999999,222,-20.71,877.71,,,0.0001,19344,0.00439508305862546
832,178200,797,0.823582,223,-20.7,875.85,,,0.0001,19549,0.007772156503051519
836,179032,796,0.8227583199999999,224,-20.69,875.06,,,0.0001,19757,0.01078051421791315
840,179935,795,0.82186435,226,-20.71,876.13,,,0.0001,19983,0.016291320323944092
844,180792,795,0.8210159199999999,227,-20.7,879.25,,,0.0001,20197,0.0113219004124403
848,181636,794,0.82018036,228,-20.7,876.42,,,0.0001,20408,0.006395724136382341
852,182619,793,0.81920719,230,-20.69,880.29,,,0.0001,20654,0.015341863967478275
856,183451,792,0.81838351,231,-20.66,880.55,,,0.0001,20862,0.014130455441772938
860,184325,791,0.8175182499999999,232,-20.64,881.69,,,0.0001,21081,0.048489294946193695
864,185179,790,0.81667279,234,-20.64,881.87,,,0.0001,21294,0.01048622652888298
868,186041,789,0.8158194100000001,235,-20.63,882.38,,,0.0001,21510,0.05288071185350418
872,186869,789,0.81499969,236,-20.62,879.84,,,0.0001,21717,0.01123798731714487
876,187759,788,0.81411859,238,-20.61,881.12,,,0.0001,21939,0.020628225058317184
880,188615,787,0.81327115,239,-20.63,879.45,,,0.0001,22153,0.019934557378292084
884,189491,786,0.8124039099999999,240,-20.63,879.88,,,0.0001,22372,0.00971282459795475
888,190326,785,0.81157726,242,-20.64,879.71,,,0.0001,22581,0.007714380510151386
892,191174,784,0.81073774,243,-20.66,878.18,,,0.0001,22793,0.005297772586345673
896,192041,784,0.8098794100000001,244,-20.64,881.75,,,0.0001,23010,0.005745197646319866
900,192858,783,0.80907058,246,-20.64,878.49,,,0.0001,23214,0.012039382010698318
904,193695,782,0.80824195,247,-20.65,875.61,,,0.0001,23423,0.007030432112514973
908,194615,782,0.80733115,248,-20.67,875.71,,,0.0001,23653,0.011758701875805855
912,195458,781,0.8064965800000001,250,-20.66,876.67,,,0.0001,23864,0.008178340271115303
916,196338,780,0.8056253800000002,251,-20.65,879.86,,,0.0001,24084,0.004888599738478661
920,197172,779,0.8047997200000001,252,-20.66,880.83,,,0.0001,24292,0.01689700037240982
924,197972,779,0.80400772,254,-20.66,878.96,,,0.0001,24492,0.03348548710346222
928,198869,778,0.80311969,255,-20.66,881.32,,,0.0001,24717,0.018655629828572273
932,199772,777,0.8022257199999999,256,-20.65,885.07,,,0.0001,24942,0.004687226377427578
,200000,,0.80200099,,,,767.95,-20.95,0.0001,24999,0.011730480939149857
936,200636,762,0.80137036,263,-20.66,886.47,,,0.0001,25158,0.005538289435207844
940,201432,762,0.80058232,264,-20.67,882.22,,,0.0001,25357,0.021913498640060425
944,202309,761,0.7997140899999999,265,-20.65,883.15,,,0.0001,25577,0.006892387289553881
948,203172,760,0.79885972,267,-20.64,883.63,,,0.0001,25792,0.005569486878812313
952,204006,760,0.7980340600000001,268,-20.67,877.6,,,0.0001,26001,0.006692021619528532
956,204866,759,0.79718266,269,-20.69,878.63,,,0.0001,26216,0.007087611593306065
960,205717,759,0.7963401700000001,271,-20.71,877.64,,,0.0001,26429,0.016331259161233902
964,206616,758,0.7954501600000001,272,-20.7,879.6,,,0.0001,26653,0.012686209753155708
968,207452,757,0.79462252,273,-20.7,878.76,,,0.0001,26862,0.01417678315192461
972,208262,757,0.7938206200000001,274,-20.72,877.67,,,0.0001,27065,0.007932632230222225
976,209110,756,0.7929811000000001,276,-20.73,876.51,,,0.0001,27277,0.006169580388814211
980,210057,756,0.79204357,277,-20.73,879.63,,,0.0001,27514,0.004781601019203663
984,210929,755,0.7911802900000001,279,-20.72,879.54,,,0.0001,27732,0.003937351517379284
988,211842,755,0.7902764199999999,280,-20.71,882.74,,,0.0001,27960,0.005855761934071779
992,212685,754,0.78944185,281,-20.7,882.48,,,0.0001,28171,0.008847782388329506
996,213544,754,0.78859144,283,-20.7,882.02,,,0.0001,28385,0.004943425767123699
1000,214370,753,0.7877737,284,-20.7,882.82,,,0.0001,28592,0.006802584044635296
1004,215237,752,0.7869153699999999,285,-20.7,884.35,,,0.0001,28809,0.028910934925079346
1008,216029,752,0.7861312899999999,287,-20.71,879.18,,,0.0001,29007,0.017962990328669548
1012,216960,751,0.7852096,288,-20.7,882.45,,,0.0001,29239,0.009049413725733757
1016,217788,751,0.7843898799999999,289,-20.69,880.5,,,0.0001,29446,0.009441602975130081
1020,218679,751,0.7835077899999999,291,-20.67,882.5,,,0.0001,29669,0.0041013858281075954
1024,219516,750,0.7826791599999999,292,-20.67,883.73,,,0.0001,29878,0.011338750831782818
1028,220399,750,0.7818049899999999,293,-20.67,883.16,,,0.0001,30099,0.003997017629444599
1032,221222,749,0.78099022,295,-20.69,879.66,,,0.0001,30305,0.01817275956273079
1036,222056,749,0.78016456,296,-20.7,878.05,,,0.0001,30513,0.022589964792132378
1040,222962,748,0.7792676200000002,297,-20.68,882.27,,,0.0001,30740,0.02437746711075306
1044,223743,748,0.77849443,299,-20.71,878.31,,,0.0001,30935,0.010057731531560421
1048,224615,747,0.7776311499999999,300,-20.71,879.12,,,0.0001,31153,0.046504709869623184
1052,225473,747,0.77678173,301,-20.69,880.47,,,0.0001,31368,0.006365778390318155
1056,226394,746,0.77586994,303,-20.66,882.79,,,0.0001,31598,0.014948539435863495
1060,227197,746,0.7750749699999999,304,-20.66,881.22,,,0.0001,31799,0.01374123990535736
1064,227996,745,0.7742839599999999,305,-20.67,877.22,,,0.0001,31998,0.005557425320148468
1068,228811,745,0.7734771100000002,307,-20.68,876.43,,,0.0001,32202,0.019690703600645065
1072,229675,744,0.7726217499999999,308,-20.67,878.52,,,0.0001,32418,0.03304629772901535
1076,230574,744,0.7717317399999999,309,-20.66,879.9,,,0.0001,32643,0.014697164297103882
1080,231376,743,0.77093776,310,-20.67,874.74,,,0.0001,32843,0.006561982445418835
1084,232186,743,0.77013586,312,-20.68,872.47,,,0.0001,33046,0.009600313380360603
1088,233036,743,0.76929436,313,-20.68,870.12,,,0.0001,33258,0.02031027525663376
1092,233881,742,0.76845781,314,-20.69,870.14,,,0.0001,33470,0.005974617786705494
1096,234724,742,0.76762324,316,-20.71,869.58,,,0.0001,33680,0.006400593556463718
1100,235560,741,0.7667956,317,-20.71,869.9,,,0.0001,33889,0.01898777112364769
1104,236405,741,0.76595905,318,-20.71,869.15,,,0.0001,34101,0.017600368708372116
1108,237254,740,0.7651185399999999,320,-20.69,871.55,,,0.0001,34313,0.003996201790869236
1112,238149,740,0.76423249,321,-20.67,870.11,,,0.0001,34537,0.006931024603545666
1116,238967,739,0.7634226700000001,323,-20.69,869.46,,,0.0001,34741,0.010022448375821114
1120,239741,739,0.76265641,324,-20.71,864.97,,,0.0001,34935,0.025322429835796356
1124,240560,738,0.7618456000000001,325,-20.69,864.5,,,0.0001,35139,0.006200176663696766
1128,241411,738,0.76100311,326,-20.71,863.33,,,0.0001,35352,0.03827755153179169
1132,242188,738,0.7602338799999999,328,-20.72,861.27,,,0.0001,35546,0.008498769253492355
1136,243019,737,0.7594111899999999,329,-20.72,861.4,,,0.0001,35754,0.016296740621328354
1140,243885,737,0.7585538500000001,330,-20.74,860.18,,,0.0001,35971,0.009724580682814121
1144,244785,736,0.75766285,332,-20.73,865.12,,,0.0001,36196,0.009610440582036972
1148,245629,736,0.7568272899999999,333,-20.73,864.0,,,0.0001,36407,0.013379301875829697
1152,246487,735,0.7559778699999999,334,-20.73,864.02,,,0.0001,36621,0.025769978761672974
1156,247316,735,0.7551571599999999,336,-20.77,860.2,,,0.0001,36828,0.008225377649068832
1160,248218,735,0.75426418,337,-20.77,863.67,,,0.0001,37054,0.007139005232602358
1164,249087,734,0.75340387,339,-20.76,866.3,,,0.0001,37271,0.010464617982506752
1168,249968,734,0.75253168,340,-20.74,868.51,,,0.0001,37491,0.011587320826947689
1172,250863,733,0.75164563,341,-20.73,869.6,,,0.0001,37715,0.004481874406337738
1176,251668,733,0.75084868,343,-20.75,866.14,,,0.0001,37916,0.008847497403621674
1180,252566,733,0.7499596599999999,344,-20.75,869.22,,,0.0001,38141,0.005825656000524759
1184,253512,732,0.74902312,346,-20.73,874.99,,,0.0001,38377,0.017358921468257904
1188,254341,732,0.7482024100000001,347,-20.73,874.26,,,0.0001,38585,0.0031310913618654013
1192,255240,731,0.7473123999999999,348,-20.73,876.66,,,0.0001,38809,0.012061158195137978
1196,256093,731,0.7464679300000001,350,-20.71,876.94,,,0.0001,39023,0.0040304698050022125
1200,256893,731,0.74567593,351,-20.72,875.34,,,0.0001,39223,0.007850495167076588
1204,257759,730,0.74481859,352,-20.71,875.64,,,0.0001,39439,0.0066546304151415825
1208,258658,730,0.74392858,354,-20.69,877.44,,,0.0001,39664,0.012011774815618992
1212,259487,730,0.74310787,355,-20.73,874.77,,,0.0001,39871,0.009621270932257175
1216,260452,729,0.7421525200000001,356,-20.71,880.78,,,0.0001,40112,0.005609980784356594
1220,261308,729,0.7413050799999998,358,-20.71,884.13,,,0.0001,40326,0.008356070145964622
1224,262179,729,0.7404427900000001,359,-20.7,885.91,,,0.0001,40544,0.006490034982562065
1228,263034,728,0.7395963400000001,360,-20.68,886.31,,,0.0001,40758,0.006529808510094881
1232,263937,728,0.7387023700000002,362,-20.65,891.75,,,0.0001,40984,0.010763565078377724
1236,264782,727,0.7378658199999999,363,-20.63,892.35,,,0.0001,41195,0.01074983924627304
1240,265592,727,0.73706392,365,-20.62,890.09,,,0.0001,41397,0.01158898789435625
1244,266535,727,0.73613035,366,-20.58,891.47,,,0.0001,41633,0.008187206462025642
1248,267416,726,0.7352581600000001,367,-20.58,892.72,,,0.0001,41853,0.013884365558624268
1252,268262,726,0.7344206200000001,369,-20.6,892.31,,,0.0001,42065,0.0035227201879024506
1256,269170,726,0.7335217,370,-20.58,895.7,,,0.0001,42292,0.01198403351008892
1260,270118,725,0.73258318,372,-20.58,897.83,,,0.0001,42529,0.009107643738389015
1264,271021,725,0.7316892100000001,373,-20.58,899.1,,,0.0001,42755,0.0038408637046813965
1268,271883,725,0.7308358300000002,374,-20.59,898.69,,,0.0001,42970,0.008100650273263454
1272,272688,724,0.73003888,376,-20.61,895.4,,,0.0001,43171,0.011522538959980011
1276,273529,724,0.72920629,377,-20.61,897.11,,,0.0001,43382,0.008986866101622581
1280,274463,724,0.7282816300000001,378,-20.62,899.09,,,0.0001,43615,0.007010242901742458
1284,275363,724,0.7273906299999999,380,-20.65,896.51,,,0.0001,43840,0.008665459230542183
1288,276207,723,0.7265550700000001,381,-20.64,896.82,,,0.0001,44051,0.006312746554613113
1292,277109,723,0.7256620899999999,383,-20.65,896.85,,,0.0001,44277,0.022570177912712097
1296,277942,723,0.7248374200000001,384,-20.66,896.24,,,0.0001,44485,0.008378703147172928
1300,278834,722,0.7239543399999999,385,-20.65,900.0,,,0.0001,44708,0.010369431227445602
