time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3921,4.23,145408,37,122.23,71,-0.002528588694985956,280,0.00025,0.0012822633,0.2,0.6139166355133057,0.3773770984262228,0.15642839670181274,0.0194091796875,-0.6567467115819454,,
3924,4.33,147456,37,122.99,72,-0.001222297185449861,284,0.00025,0.002382454,0.2,0.550024151802063,0.411276837810874,0.18964692950248718,0.028564453125,-0.6745706647634506,,
3929,4.42,149504,38,123.72,73,-0.0018633497529663146,288,0.00025,0.003319058,0.2,0.5764279365539551,0.4443786945194006,0.19811707735061646,0.025634765625,-0.6740050874650478,,
3933,4.55,151552,38,124.67,74,-0.0016644673887640238,292,0.00025,0.0020084116,0.2,0.5709118843078613,0.34368412755429745,0.13223624229431152,0.0128173828125,-0.6983373947441578,,
3937,4.52,153600,39,124.75,75,-0.004033447272377089,296,0.00025,0.004236968,0.2,0.5391660928726196,0.4527961164712906,0.20749494433403015,0.041259765625,-0.6855890639126301,,
3939,4.58,155648,39,124.8,76,-0.0034138357150368392,300,0.00025,0.0050669373,0.2,0.5858714580535889,0.43050549179315567,0.1932501345872879,0.09423828125,-0.6610795073211193,,
3942,4.68,157696,39,124.85,77,-0.003469435963779688,304,0.00025,0.003857817,0.2,0.5784180164337158,0.37468113377690315,0.1798425316810608,0.04931640625,-0.6725674457848072,,
3944,4.67,159744,40,125.61,78,-0.0038100212696008384,308,0.00025,0.0054774284,0.2,0.49155694246292114,0.38129236549139023,0.14351195096969604,0.030029296875,-0.6728741712868214,,
3945,4.53,161792,41,124.54,79,-0.0025350712530780584,312,0.00025,0.004392071,0.2,0.5854891538619995,0.3752098437398672,0.18525813519954681,0.046875,-0.6546636298298836,,
3947,4.66,163840,41,126.29,80,0.0020076294022146612,316,0.00025,0.009028961,0.2,0.5373846888542175,0.48578367196023464,0.21058350801467896,0.1878662109375,-0.6699079275131226,,
3948,4.77,165888,42,126.89,81,-0.0011155509273521602,320,0.00025,0.0062102014,0.2,0.5819259285926819,0.41760484874248505,0.195506751537323,0.038330078125,-0.6596482247114182,,
3949,4.86,167936,42,128.08,82,-0.0015899032878223807,324,0.00025,0.0057175853,0.2,0.6678748726844788,0.38635996729135513,0.1862332820892334,0.0567626953125,-0.6466029696166515,,
3952,4.9,169984,43,129.58,83,-0.002905689994804561,328,0.00025,0.0065029426,0.2,0.642780065536499,0.44882271625101566,0.2135007232427597,0.0269775390625,-0.6443323530256748,,
3955,4.97,172032,43,131.84,84,-0.0010245066368952394,332,0.00025,0.005114843,0.2,0.6731003522872925,0.40620553493499756,0.1563144028186798,0.0748291015625,-0.6222876161336899,,
3956,5.07,174080,43,132.46,85,-0.0024626087106298655,336,0.00025,0.014727445,0.2,0.672264575958252,0.3675364088267088,0.16705963015556335,0.09521484375,-0.6225915737450123,,
3958,5.13,176128,44,134.47,86,-0.0035260713193565607,340,0.00025,0.008980959,0.2,0.702940046787262,0.3515649028122425,0.19136762619018555,0.093017578125,-0.5987644642591476,,
