time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
856,888.95,636,0.8644571200000001,159,136912,-20.54,,,0.0001,9227,0.006220345851033926
854,888.33,640,0.8636868999999999,161,137690,-20.53,,,0.0001,9422,0.014216862618923187
853,885.68,644,0.8627859999999999,162,138600,-20.55,,,0.0001,9649,0.011178147047758102
851,880.96,648,0.86193757,163,139457,-20.58,,,0.0001,9864,0.00948495976626873
850,880.15,652,0.8610634000000001,165,140340,-20.59,,,0.0001,10084,0.025543298572301865
848,882.49,656,0.8601733899999999,166,141239,-20.6,,,0.0001,10309,0.010653658770024776
846,884.97,660,0.8592754600000001,167,142146,-20.62,,,0.0001,10536,0.008612995967268944
844,887.18,664,0.8583349600000001,169,143096,-20.62,,,0.0001,10773,0.0027068748604506254
843,886.22,668,0.8575746399999999,170,143864,-20.61,,,0.0001,10965,0.011985099874436855
842,887.79,672,0.8567291799999999,171,144718,-20.58,,,0.0001,11179,0.002853600773960352
840,888.56,676,0.85582135,173,145635,-20.57,,,0.0001,11408,0.020207520574331284
839,882.26,680,0.85500361,174,146461,-20.6,,,0.0001,11615,0.010629631578922272
837,886.06,684,0.85413835,175,147335,-20.6,,,0.0001,11833,0.006250798236578703
836,890.64,688,0.85319587,177,148287,-20.56,,,0.0001,12071,0.008342219516634941
834,888.94,692,0.85237516,178,149116,-20.56,,,0.0001,12278,0.010897056199610233
833,894.0,696,0.8513980299999999,180,150103,-20.53,,,0.0001,12525,0.004589467775076628
831,897.47,700,0.85048228,181,151028,-20.5,,,0.0001,12756,0.02895260974764824
830,898.71,704,0.8495952400000001,182,151924,-20.5,,,0.0001,12980,0.014628488570451736
828,901.15,708,0.84868147,184,152847,-20.46,,,0.0001,13211,0.005686864256858826
827,905.24,712,0.84778948,185,153748,-20.46,,,0.0001,13436,0.004641813226044178
825,906.3,716,0.84688957,187,154657,-20.41,,,0.0001,13664,0.017396103590726852
824,906.8,720,0.8460302500000001,188,155525,-20.4,,,0.0001,13881,0.014504177495837212
823,904.42,724,0.84518479,189,156379,-20.42,,,0.0001,14094,0.0056869834661483765
822,906.16,728,0.8443333900000001,191,157239,-20.41,,,0.0001,14309,0.003377133747562766
821,903.62,732,0.8435027800000001,192,158078,-20.44,,,0.0001,14519,0.00925558339804411
819,905.94,736,0.84260287,193,158987,-20.41,,,0.0001,14746,0.008115621283650398
818,907.3,740,0.84180196,195,159796,-20.42,,,0.0001,14948,0.03024824522435665
817,908.07,744,0.8408733400000001,196,160734,-20.4,,,0.0001,15183,0.011265670880675316
816,908.43,748,0.8400100600000001,197,161606,-20.4,,,0.0001,15401,0.010407276451587677
815,906.38,752,0.8391923200000001,199,162432,-20.41,,,0.0001,15607,0.010152791626751423
814,905.17,756,0.8383419099999999,200,163291,-20.4,,,0.0001,15822,0.01714485138654709
812,905.34,760,0.83743012,201,164212,-20.38,,,0.0001,16052,0.012282904237508774
811,903.24,764,0.8365410999999999,203,165110,-20.39,,,0.0001,16277,0.03620125353336334
810,907.17,768,0.83567089,204,165989,-20.36,,,0.0001,16497,0.02122034877538681
809,906.7,772,0.8348283999999999,206,166840,-20.39,,,0.0001,16709,0.011633631773293018
808,903.93,776,0.8339878900000001,207,167689,-20.39,,,0.0001,16922,0.02904120832681656
807,910.2,780,0.83302363,208,168663,-20.34,,,0.0001,17165,0.008803955279290676
806,909.77,784,0.83216332,210,169532,-20.33,,,0.0001,17382,0.008601969107985497
805,903.51,788,0.8313822100000001,211,170321,-20.38,,,0.0001,17580,0.011912097223103046
804,905.14,792,0.83052586,212,171186,-20.39,,,0.0001,17796,0.018687250092625618
803,901.65,796,0.8296289200000001,214,172092,-20.42,,,0.0001,18022,0.012742869555950165
802,901.88,800,0.82870921,215,173021,-20.46,,,0.0001,18255,0.010696090757846832
801,903.65,804,0.82777762,217,173962,-20.44,,,0.0001,18490,0.010034505277872086
800,903.28,808,0.8268658300000001,218,174883,-20.47,,,0.0001,18720,0.04580250382423401
