time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
62144,45,764,0.03,1351,0.852408,80.44,0.01591513305902481,0.0001,3035,,
62476,46,768,0.03,1341,0.8516195000000001,80.37,0.009574264287948608,0.0001,3118,,
62809,47,772,0.07,1328,0.8508286249999998,80.94,0.010060716420412064,0.0001,3202,,
63135,47,776,0.08,1316,0.8500543750000001,80.99,0.010407284833490849,0.0001,3283,,
63445,48,780,0.1,1307,0.8493181250000001,80.94,0.000651550421025604,0.0001,3361,,
63763,49,784,0.13,1298,0.8485628749999999,81.63,0.000728667713701725,0.0001,3440,,
64085,49,788,0.17,1293,0.8477981250000002,81.98,0.0027849951293319464,0.0001,3521,,
64442,50,792,0.16,1280,0.8469502499999997,82.16,0.0015539557207375765,0.0001,3610,,
64847,51,796,0.19,1267,0.8459883749999998,82.92,0.025097494944930077,0.0001,3711,,
65203,51,800,0.22,1257,0.8451428750000003,83.6,0.00032859458588063717,0.0001,3800,,
65493,52,804,0.22,1250,0.8444541249999999,83.41,0.013346684165298939,0.0001,3873,,
65861,53,808,0.22,1237,0.8435801250000001,83.74,0.014154928736388683,0.0001,3965,,
66222,53,812,0.22,1228,0.84272275,84.02,0.025698577985167503,0.0001,4055,,
66591,54,816,0.21,1218,0.8418463749999998,84.86,0.0016775515396147966,0.0001,4147,,
66885,55,820,0.24,1209,0.8411481249999998,84.44,0.011464509181678295,0.0001,4221,,
67273,56,824,0.3,1197,0.8402266250000002,85.01,0.0019757235422730446,0.0001,4318,,
67613,56,828,0.32,1189,0.8394191250000003,85.24,0.015938781201839447,0.0001,4403,,
67918,57,832,0.31,1182,0.8386947500000002,84.86,0.001513074734248221,0.0001,4479,,
68201,57,836,0.3,1176,0.8380226250000001,84.58,0.002292425138875842,0.0001,4550,,
68515,58,840,0.28,1169,0.8372768749999997,84.32,0.0041268193162977695,0.0001,4628,,
68892,59,844,0.29,1159,0.8363815000000001,84.01,0.033649642020463943,0.0001,4722,,
69228,60,848,0.32,1151,0.8355834999999998,84.26,0.0029175616800785065,0.0001,4806,,
69534,60,852,0.34,1145,0.83485675,84.01,0.009224914945662022,0.0001,4883,,
69878,61,856,0.34,1137,0.8340397499999997,84.22,0.019353877753019333,0.0001,4969,,
70242,62,860,0.4,1129,0.8331752500000003,84.77,0.026299232617020607,0.0001,5060,,
70582,62,864,0.41,1122,0.8323677500000002,84.38,0.0020260794553905725,0.0001,5145,,
70906,63,868,0.4,1115,0.8315982500000002,84.3,0.01099069882184267,0.0001,5226,,
71229,64,872,0.39,1109,0.830831125,84.2,0.001716680359095335,0.0001,5307,,
71550,64,876,0.37,1103,0.83006875,84.15,0.0035776630975306034,0.0001,5387,,
71929,65,880,0.39,1095,0.8291686250000002,84.84,0.014348175376653671,0.0001,5482,,
72270,66,884,0.41,1089,0.8283587499999999,85.07,0.01528255920857191,0.0001,5567,,
