time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
808,879.99,0.7952114285714283,179,144800,676,-20.64,,,0.0001,11199,0.0037911864928901196
807,874.95,0.794078585714286,180,145601,680,-20.67,,,0.0001,11400,0.006957020610570908
805,875.14,0.7928410857142857,181,146476,684,-20.66,,,0.0001,11618,0.025118984282016754
803,879.04,0.7915427714285711,183,147394,688,-20.64,,,0.0001,11848,0.004565895535051823
802,878.31,0.790315171428571,184,148262,692,-20.64,,,0.0001,12065,0.031033726409077644
800,876.79,0.7891200999999999,186,149107,696,-20.66,,,0.0001,12276,0.01500698085874319
799,878.04,0.7879547285714286,187,149931,700,-20.65,,,0.0001,12482,0.00730014918372035
798,877.11,0.7866648999999997,188,150843,704,-20.67,,,0.0001,12710,0.0031055654399096966
796,876.75,0.7854542714285719,190,151699,708,-20.67,,,0.0001,12924,0.008471664972603321
795,880.9,0.7841022142857141,192,152655,712,-20.66,,,0.0001,13163,0.016562247648835182
793,882.21,0.7828463285714289,193,153543,716,-20.66,,,0.0001,13385,0.003304586745798588
792,878.39,0.7816470142857139,194,154391,720,-20.71,,,0.0001,13597,0.007594333030283451
790,882.85,0.7803699142857146,196,155294,724,-20.69,,,0.0001,13823,0.02245369739830494
789,883.87,0.7791154428571428,197,156181,728,-20.68,,,0.0001,14045,0.012865414842963219
788,882.19,0.7779189571428571,199,157027,732,-20.7,,,0.0001,14256,0.027012377977371216
786,881.82,0.7767762142857145,200,157835,736,-20.69,,,0.0001,14458,0.029744520783424377
785,885.73,0.775535885714286,202,158712,740,-20.66,,,0.0001,14677,0.03473323583602905
784,887.36,0.774325257142857,203,159568,744,-20.66,,,0.0001,14891,0.01997661404311657
783,888.95,0.7730750285714282,204,160452,748,-20.63,,,0.0001,15112,0.007497655227780342
781,888.87,0.7717823714285711,206,161366,752,-20.64,,,0.0001,15341,0.005083018913865089
780,891.48,0.7704939571428568,207,162277,756,-20.62,,,0.0001,15569,0.009239496663212776
779,890.85,0.7692904,209,163128,760,-20.63,,,0.0001,15781,0.005316721275448799
778,891.28,0.7680727000000003,210,163989,764,-20.62,,,0.0001,15997,0.006230081431567669
777,894.37,0.7668267142857143,212,164870,768,-20.61,,,0.0001,16217,0.008254891261458397
775,887.59,0.7657462000000004,213,165634,772,-20.63,,,0.0001,16408,0.0060562798753380775
774,887.03,0.7645879000000001,214,166453,776,-20.61,,,0.0001,16613,0.014032015576958656
773,886.97,0.7634621285714287,216,167249,780,-20.6,,,0.0001,16812,0.013079604133963585
772,886.25,0.7622401857142861,217,168113,784,-20.6,,,0.0001,17028,0.007336463313549757
771,883.58,0.7610465285714285,218,168957,788,-20.6,,,0.0001,17239,0.014414530247449875
770,881.88,0.7598825714285719,220,169780,792,-20.61,,,0.0001,17444,0.03267518803477287
769,883.98,0.7585941571428576,221,170691,796,-20.62,,,0.0001,17672,0.007872844114899635
768,886.67,0.7573411000000005,223,171577,800,-20.61,,,0.0001,17894,0.02972261607646942
767,885.49,0.7560993571428573,224,172455,804,-20.58,,,0.0001,18113,0.009654496796429157
766,889.64,0.7547402285714286,226,173416,808,-20.56,,,0.0001,18353,0.0377461239695549
765,884.9,0.7535706142857144,227,174243,812,-20.58,,,0.0001,18560,0.002787248697131872
765,882.95,0.7523826142857143,228,175083,816,-20.57,,,0.0001,18770,0.009593567810952663
764,882.96,0.7511790571428576,230,175934,820,-20.59,,,0.0001,18983,0.01771775260567665
763,880.45,0.7499868142857147,231,176777,824,-20.59,,,0.0001,19194,0.010552643798291683
762,878.4,0.7488073000000002,233,177611,828,-20.59,,,0.0001,19402,0.008861099369823933
761,879.13,0.7475839428571429,234,178476,832,-20.57,,,0.0001,19618,0.009314176626503468
760,882.09,0.7463407857142861,235,179355,836,-20.57,,,0.0001,19838,0.023804903030395508
759,882.78,0.7450778285714288,237,180248,840,-20.57,,,0.0001,20061,0.026842990890145302
758,884.49,0.7438035571428576,238,181149,844,-20.57,,,0.0001,20287,0.014834312722086906
757,883.03,0.7425971714285716,240,182002,848,-20.59,,,0.0001,20500,0.01709602400660515
757,882.69,0.7413101714285719,241,182912,852,-20.58,,,0.0001,20727,0.032217252999544144
756,880.35,0.7401136857142863,243,183758,856,-20.61,,,0.0001,20939,0.03463653475046158
755,879.73,0.738937,244,184590,860,-20.6,,,0.0001,21147,0.00863123219460249
754,883.4,0.7375849428571434,245,185546,864,-20.59,,,0.0001,21386,0.017143137753009796
753,882.01,0.736387042857143,247,186393,868,-20.59,,,0.0001,21598,0.011134184896945953
752,885.15,0.7352047000000004,248,187229,872,-20.59,,,0.0001,21807,0.0062464261427521706
752,886.46,0.733999728571429,250,188081,876,-20.6,,,0.0001,22020,0.02202608808875084
751,892.62,0.7326618142857144,251,189027,880,-20.56,,,0.0001,22256,0.019254375249147415
750,891.35,0.731489371428571,252,189856,884,-20.56,,,0.0001,22463,0.005901111289858818
749,893.0,0.7302250000000001,254,190750,888,-20.55,,,0.0001,22687,0.01728884130716324
748,894.84,0.7289959857142854,255,191619,892,-20.54,,,0.0001,22904,0.020140791311860085
747,891.03,0.727856071428572,257,192425,896,-20.53,,,0.0001,23106,0.007657315582036972
747,888.38,0.7266906999999996,258,193249,900,-20.53,,,0.0001,23312,0.007663297466933727
746,888.65,0.7254277428571433,260,194142,904,-20.55,,,0.0001,23535,0.0070705171674489975
745,885.24,0.7241973142857139,261,195012,908,-20.58,,,0.0001,23752,0.016226600855588913
744,886.42,0.7229852714285715,262,195869,912,-20.59,,,0.0001,23967,0.03444405645132065
744,884.98,0.7218439428571425,264,196676,916,-20.61,,,0.0001,24168,0.021335989236831665
743,888.79,0.720506028571429,265,197622,920,-20.55,,,0.0001,24405,0.01609482616186142
742,894.71,0.7191228571428568,267,198600,924,-20.55,,,0.0001,24649,0.026333626359701157
741,899.88,0.7177637285714281,269,199561,928,-20.54,,,0.0001,24890,0.008823627606034279
,,0.7171442714285717,,200000,,,886.55,-20.4,0.0001,24999,0.009761419147253036
724,899.52,0.7165728999999998,276,200403,932,-20.55,,,0.0001,25100,0.015486706979572773
723,899.45,0.7153382285714287,278,201276,936,-20.54,,,0.0001,25318,0.010551013983786106
722,902.11,0.7139791,279,202237,940,-20.55,,,0.0001,25559,0.02579534985125065
721,904.27,0.7126341142857144,281,203188,944,-20.51,,,0.0001,25796,0.016799530014395714
721,904.45,0.7114107571428572,282,204053,948,-20.51,,,0.0001,26013,0.010526626370847225
720,903.98,0.7101378999999994,284,204953,952,-20.53,,,0.0001,26238,0.00928387138992548
719,906.18,0.7088593857142855,285,205857,956,-20.54,,,0.0001,26464,0.010252358391880989
719,907.04,0.7076501714285712,287,206712,960,-20.53,,,0.0001,26677,0.015180827118456364
718,904.12,0.7064070142857145,288,207591,964,-20.54,,,0.0001,26897,0.013195422478020191
718,904.3,0.7052091142857142,290,208438,968,-20.53,,,0.0001,27109,0.02452635020017624
717,906.08,0.703953228571429,291,209326,972,-20.52,,,0.0001,27331,0.004778571426868439
717,907.69,0.702710071428571,293,210205,976,-20.52,,,0.0001,27551,0.01889985427260399
716,903.88,0.7014867142857149,294,211070,980,-20.56,,,0.0001,27767,0.03177621588110924
715,904.35,0.7002973000000001,296,211911,984,-20.57,,,0.0001,27977,0.02272806316614151
715,903.2,0.6990753571428574,297,212775,988,-20.59,,,0.0001,28193,0.006533383391797543
714,904.22,0.6978081571428572,298,213671,992,-20.6,,,0.0001,28417,0.010679278522729874
713,908.28,0.6965183285714283,300,214583,996,-20.59,,,0.0001,28645,0.004256842657923698
713,910.87,0.6952779999999997,302,215460,1000,-20.59,,,0.0001,28864,0.012314610183238983
712,909.16,0.6940885857142861,303,216301,1004,-20.58,,,0.0001,29075,0.007773119956254959
711,914.39,0.6926728857142861,305,217302,1008,-20.55,,,0.0001,29325,0.006582148838788271
711,915.28,0.691419828571429,306,218188,1012,-20.55,,,0.0001,29546,0.006789030972868204
710,918.78,0.6901568714285717,308,219081,1016,-20.52,,,0.0001,29770,0.01665174588561058
709,916.87,0.6888769428571431,309,219986,1020,-20.57,,,0.0001,29996,0.005150225479155779
709,913.53,0.6876026714285719,311,220887,1024,-20.55,,,0.0001,30221,0.01312266942113638
708,909.65,0.6863793142857145,312,221752,1028,-20.57,,,0.0001,30437,0.011850392445921898
708,914.13,0.6850187714285711,314,222714,1032,-20.52,,,0.0001,30678,0.007267145439982414
707,914.37,0.6837586428571432,315,223605,1036,-20.54,,,0.0001,30901,0.008187218569219112
707,912.4,0.6824645714285713,317,224520,1040,-20.56,,,0.0001,31129,0.014557061716914177
706,908.28,0.6812610142857146,318,225371,1044,-20.6,,,0.0001,31342,0.025890551507472992
706,909.0,0.6800291714285718,320,226242,1048,-20.6,,,0.0001,31560,0.008240072056651115
