rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.32,83.83,69260,852,1142,0.8355074999999998,60,0.023320069536566734,4814,0.0001,,
0.33,83.65,69665,856,1133,0.8345456249999998,61,0.01216343604028225,4916,0.0001,,
0.37,84.35,70084,860,1125,0.8335504999999999,62,0.008301766589283943,5020,0.0001,,
0.36,84.16,70450,864,1119,0.8326812500000003,62,0.0016864718636497855,5112,0.0001,,
0.33,83.65,70738,868,1113,0.8319972500000001,63,0.019566480070352554,5184,0.0001,,
0.31,84.13,71083,872,1107,0.8311778750000001,64,0.0024696828331798315,5270,0.0001,,
0.32,84.17,71414,876,1100,0.8303917499999998,64,0.001053386484272778,5353,0.0001,,
0.38,84.84,71782,880,1093,0.8295177499999999,65,0.011133670806884766,5445,0.0001,,
0.39,85.74,72137,884,1085,0.8286746249999998,66,0.015490430407226086,5534,0.0001,,
0.36,85.32,72464,888,1078,0.8278979999999998,67,0.03942407667636871,5615,0.0001,,
0.36,85.06,72768,892,1071,0.8271760000000001,67,0.02544408291578293,5691,0.0001,,
0.34,84.73,73094,896,1066,0.82640175,68,0.023710409179329872,5773,0.0001,,
0.35,85.01,73483,900,1059,0.8254778750000001,69,0.01373557560145855,5870,0.0001,,
0.38,85.4,73847,904,1056,0.824613375,69,0.024187099188566208,5961,0.0001,,
0.39,85.4,74234,908,1048,0.8236942500000002,70,0.0009232830489054322,6058,0.0001,,
0.44,86.04,74586,912,1041,0.8228582499999999,71,0.003965851850807667,6146,0.0001,,
0.44,86.23,74893,916,1035,0.8221291249999998,72,0.019044050946831703,6223,0.0001,,
0.45,86.16,75199,920,1029,0.8214023749999999,73,0.0009832645300775766,6299,0.0001,,
0.5,86.8,75583,924,1022,0.8204903750000001,73,0.001419752137735486,6395,0.0001,,
0.48,87.08,75938,928,1018,0.8196472499999998,74,0.007079546805471182,6484,0.0001,,
0.48,87.53,76299,932,1013,0.8187898749999998,75,0.002942096209153533,6574,0.0001,,
0.47,87.83,76625,936,1009,0.8180156250000001,75,0.010788412764668465,6656,0.0001,,
0.47,87.73,76955,940,1006,0.8172318750000003,76,0.02075561136007309,6738,0.0001,,
0.5,87.94,77311,944,1000,0.8163863750000002,77,0.04420491307973862,6827,0.0001,,
0.51,87.53,77644,948,996,0.8155954999999999,77,0.015586275607347488,6910,0.0001,,
0.5,87.28,77988,952,992,0.8147785000000001,78,0.0052108438685536385,6996,0.0001,,
0.47,86.5,78315,956,988,0.8140018750000002,79,0.010910208337008953,7078,0.0001,,
0.46,85.82,78666,960,983,0.8131682500000003,79,0.05805342271924019,7166,0.0001,,
0.44,85.42,78992,964,979,0.8123940000000001,80,0.005645592696964741,7247,0.0001,,
0.47,85.68,79306,968,975,0.8116482499999997,81,0.017207367345690727,7326,0.0001,,
