rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
899.66,278,964,748,0.705513185714286,208223,-20.64,,,27055,0.0001,0.011050321161746979
897.43,279,968,748,0.7043746857142863,209028,-20.64,,,27256,0.0001,0.005653570406138897
895.79,280,972,747,0.7031343571428577,209905,-20.64,,,27476,0.0001,0.010375751182436943
894.42,282,976,746,0.7018897857142863,210785,-20.63,,,27696,0.0001,0.0076390216127038
896.69,283,980,746,0.700611271428571,211689,-20.63,,,27922,0.0001,0.002974349306896329
900.05,285,984,745,0.6993355857142853,212591,-20.61,,,28147,0.0001,0.012579452246427536
900.56,286,988,745,0.698086771428571,213474,-20.62,,,28368,0.0001,0.008082196116447449
904.25,287,992,744,0.6968634142857149,214339,-20.6,,,28584,0.0001,0.021652763709425926
908.37,289,996,743,0.6955141857142852,215293,-20.6,,,28823,0.0001,0.0057277069427073
908.04,290,1000,743,0.6943007285714283,216151,-20.6,,,29037,0.0001,0.007716145366430283
903.93,292,1004,742,0.693156571428571,216960,-20.61,,,29239,0.0001,0.011678644455969334
900.05,293,1008,742,0.6918780571428571,217864,-20.62,,,29465,0.0001,0.009048965759575367
901.52,294,1012,741,0.6906080285714287,218762,-20.61,,,29690,0.0001,0.00678610522300005
905.65,296,1016,741,0.6892984000000003,219688,-20.62,,,29921,0.0001,0.009208526462316513
908.12,297,1020,740,0.6879378571428569,220650,-20.61,,,30162,0.0001,0.009601072408258915
905.27,299,1024,740,0.6867668285714282,221478,-20.63,,,30369,0.0001,0.002175677567720413
901.74,300,1028,739,0.6855392285714281,222346,-20.65,,,30586,0.0001,0.0053913285955786705
899.34,301,1032,739,0.6843611285714283,223179,-20.66,,,30794,0.0001,0.007640819530934095
900.83,303,1036,738,0.6830925142857145,224076,-20.66,,,31018,0.0001,0.013382899574935436
899.7,304,1040,738,0.6819285571428567,224899,-20.66,,,31224,0.0001,0.009026117622852325
898.57,305,1044,737,0.6806627714285711,225794,-20.67,,,31448,0.0001,0.006319806445389986
904.54,307,1048,737,0.6792682857142853,226780,-20.65,,,31694,0.0001,0.006450876127928495
905.46,309,1052,736,0.6779402714285709,227719,-20.64,,,31929,0.0001,0.00807926058769226
