rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
324.32,11940,457,935936,78,106.08,0.2,2.4447218e-09,-0.0003046470328627038,3235.860641479492,0.0,1824,0.00025,1669.1533203125,0.25853437185287476,-7.246853783726692e-08,,
323.36,11941,458,937984,78,105.84,0.2,6.722985e-09,-0.00021268871114443755,3029.279098510742,0.0,1828,0.00025,1525.494140625,0.2549703121185303,2.1973391994833946e-08,,
323.04,11941,459,940032,78,105.76,0.2,1.641456e-08,-0.000309479575662408,2971.1979217529297,0.0,1832,0.00025,1437.4052734375,0.23849546909332275,8.32369551062584e-09,,
319.84,11942,460,942080,78,104.96,0.2,1.1641532e-08,-0.0003632584684964968,2837.4282989501953,0.0,1836,0.00025,1489.1253662109375,0.22462821006774902,-3.4691765904426575e-08,,
317.92,11943,461,944128,79,104.48,0.2,1.3038516e-08,-0.00041247893568652216,3078.461700439453,0.0,1840,0.00025,1530.4296875,0.24118953943252563,-3.693276084959507e-08,,
316.0,11943,462,946176,79,104.0,0.2,7.372524e-06,-0.000584117742619128,2844.9764251708984,0.0001220703125,1844,0.00025,1351.28466796875,0.23678797483444214,-4.5913795474916697e-05,,
317.28,11944,463,948224,79,104.32,0.2,0.0,-0.00030904800587450154,2893.6429290771484,0.0,1848,0.00025,1523.376953125,0.21658635139465332,6.350455805659294e-08,,
315.36,11945,464,950272,79,103.84,0.2,2.2992026e-09,-0.0002636388217069907,2989.819091796875,0.0,1852,0.00025,1453.4736328125,0.24316644668579102,-7.363269105553627e-09,,
315.68,11945,465,952320,79,103.92,0.2,2.1827873e-09,-0.0003108707815044909,3049.1971588134766,0.0,1856,0.00025,1454.867919921875,0.2449038028717041,3.512832336127758e-08,,
315.36,11946,466,954368,79,103.84,0.2,0.0,-0.00029803488178004045,2617.1460723876953,0.0,1860,0.00025,1255.485595703125,0.21388477087020874,-4.368775989860296e-07,,
313.44,13551,467,956416,70,103.36,0.2,9.924406e-09,-0.0003761773987207562,3076.4803314208984,0.0,1864,0.00025,1663.0296630859375,0.24114352464675903,-8.667120710015297e-08,,
315.04,13552,468,958464,70,103.76,0.2,0.0,-0.00026360785705037415,2637.2103881835938,0.0,1868,0.00025,1337.13671875,0.22853779792785645,-2.8251088224351406e-07,,
316.96,13553,469,960512,70,104.24,0.2,-4.278263e-09,-0.00021783431293442845,3115.2615509033203,0.0,1872,0.00025,1484.0152587890625,0.21871531009674072,2.1944288164377213e-08,,
314.72,13554,470,962560,71,103.68,0.2,1.542503e-08,-0.00021626398847729433,3178.4569244384766,0.0,1876,0.00025,1567.6414794921875,0.23332905769348145,-6.938353180885315e-08,,
315.68,13554,471,964608,71,103.92,0.2,-4.627509e-09,-0.00017270024545723572,2981.796920776367,0.0,1880,0.00025,1718.374755859375,0.22056514024734497,1.6443664208054543e-08,,
313.76,13555,472,966656,71,103.44,0.2,2.9685907e-08,-0.0001893430912787153,3135.8375396728516,0.0,1884,0.00025,1566.989013671875,0.24446934461593628,-9.564973879605532e-08,,
311.84,13556,473,968704,71,102.96,0.2,6.490154e-09,-0.0002898939583246829,3270.520248413086,0.0,1888,0.00025,2028.562255859375,0.2625497579574585,-1.9778963178396225e-07,,
304.8,13557,474,970752,71,101.2,0.2,2.2118911e-09,-0.0001706760231172666,3103.3690795898438,0.0,1892,0.00025,1397.9825439453125,0.2264062762260437,-5.2619725465774536e-08,,
306.72,13557,475,972800,71,101.68,0.2,1.3591489e-08,-0.00025794592511374503,2973.7891235351562,0.0,1896,0.00025,1347.6673583984375,0.25476545095443726,-1.1932570487260818e-09,,
307.68,13558,476,974848,71,101.92,0.2,-2.27883e-08,-0.00026216433798254,3033.506805419922,0.0,1900,0.00025,1671.6114501953125,0.238148033618927,-3.763125278055668e-08,,
309.92,13559,477,976896,72,102.48,0.2,0.0,-0.0004866268482146552,3070.4793395996094,0.0,1904,0.00025,1637.883056640625,0.2587856650352478,1.076841726899147e-09,,
308.32,13560,478,978944,72,102.08,0.2,0.0,-0.0003193161419403623,2687.0540771484375,0.0,1908,0.00025,1429.4010009765625,0.21505522727966309,-1.3472163118422031e-07,,
313.44,13560,479,980992,72,103.36,0.2,-5.9662852e-09,-0.0004344649823906366,3190.223846435547,0.0,1912,0.00025,1676.058837890625,0.2297607660293579,-1.332373358309269e-07,,
311.52,13561,480,983040,72,102.88,0.2,0.0,-0.0004996312018192839,2829.2646484375,0.0,1916,0.00025,1533.302001953125,0.2920733094215393,-6.80447556078434e-08,,
312.48,13562,481,985088,72,103.12,0.2,-2.910383e-11,-0.00032141281099029584,2662.921859741211,0.0,1920,0.00025,1459.8551025390625,0.22884047031402588,-1.6487319953739643e-07,,
313.12,13563,482,987136,72,103.28,0.2,2.0576408e-08,-0.00046232535169110633,3167.3778686523438,0.0,1924,0.00025,1696.1265869140625,0.24426162242889404,-2.3355823941528797e-07,,
317.6,13563,483,989184,72,104.4,0.2,4.5110937e-09,-0.0004624232587957522,2963.839065551758,0.0,1928,0.00025,1537.630859375,0.24169296026229858,3.637978807091713e-08,,
316.96,13564,484,991232,73,104.24,0.2,0.0,-0.00020352654701127904,2764.130828857422,0.0,1932,0.00025,1336.3590087890625,0.23836225271224976,-1.0803341865539551e-07,,
316.96,13565,485,993280,73,104.24,0.2,6.7811925e-09,-0.00037877430622756947,3243.275131225586,0.0,1936,0.00025,1826.6290283203125,0.22431272268295288,-1.6810372471809387e-07,,
